Iteration,SecondaryIndex Read time (ms),SecondaryIndex Write time (ms),SecondaryIndex Del time (ms),SecondaryIndex Total time (ms),SE links,Imprint links,Checksum links,Sec. Index Size (bytes), Sec. Index Memory Size (bytes), Schema Elements (SE),Schema Relations (SR),Index Size (bytes),Graph Size (bytes),SG Read time (ms),SG Write time (ms),SG Del time (ms)
0,0,0,0,0,0,0,0,0,1557808,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,14371008,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,27964576,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,42267712,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,55447600,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,68603120,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,81754000,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,94903936,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,108051968,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,121197504,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,134333280,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,149934448,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,163090720,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,176236032,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,189389600,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,202541472,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,217031056,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,230184432,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,243331392,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,256486016,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,269633056,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,256486016,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,243331392,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,230184432,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,217031056,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,202541472,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,189389600,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,176236032,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,163090720,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,149934448,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,134333232,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,121197504,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,108051968,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,94903936,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,81754000,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0,68603120,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,55447600,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0,42267712,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,27964552,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,14370936,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,1559200,0,0,0,0,0,0,0
