Iteration,SecondaryIndex Read time (ms),SecondaryIndex Write time (ms),SecondaryIndex Del time (ms),SecondaryIndex Total time (ms),SE links,Imprint links,Checksum links,Sec. Index Size (bytes),Schema Elements (SE),Schema Relations (SR),Index Size (bytes),Graph Size (bytes),SG Read time (ms),SG Write time (ms),SG Del time (ms)
0,0,0,0,0,23,7328,6466,129269,23,0,0,0,0,0,0
1,0,0,0,0,103,67978,65799,1329934,103,0,0,0,0,0,0
2,0,0,0,0,135,132776,132767,2666370,135,0,0,0,0,0,0
3,0,0,0,0,263,200090,158733,3848735,263,0,0,0,0,0,0
4,0,0,0,0,264,263183,263183,5343991,264,0,0,0,0,0,0
5,0,0,0,0,265,326247,326247,6604132,265,0,0,0,0,0,0
6,0,0,0,0,265,389321,389321,7889244,265,0,0,0,0,0,0
7,0,0,0,0,266,452402,452402,9156965,266,0,0,0,0,0,0
8,0,0,0,0,266,515472,515472,10429172,266,0,0,0,0,0,0
9,0,0,0,0,267,578554,578554,11688067,267,0,0,0,0,0,0
10,0,0,0,0,267,641620,641620,12898936,267,0,0,0,0,0,0
11,0,0,0,0,525,713489,710526,14345029,525,0,0,0,0,0,0
12,0,0,0,0,525,776564,776564,15610520,525,0,0,0,0,0,0
13,0,0,0,0,526,839614,839614,16794764,526,0,0,0,0,0,0
14,0,0,0,0,528,902694,902694,18027796,528,0,0,0,0,0,0
15,0,0,0,0,529,965770,965770,19246938,529,0,0,0,0,0,0
16,0,0,0,0,659,1033775,1033773,20560143,659,0,0,0,0,0,0
17,0,0,0,0,661,1096849,1096849,21782878,661,0,0,0,0,0,0
18,0,0,0,0,662,1159924,1159924,22950219,662,0,0,0,0,0,0
19,0,0,0,0,666,1222998,1222998,24195596,666,0,0,0,0,0,0
20,0,0,0,0,667,1286066,1286066,25263501,667,0,0,0,0,0,0
21,0,0,0,0,666,1222998,1222998,24038233,666,0,0,0,0,0,0
22,0,0,0,0,662,1159924,1159924,22912947,662,0,0,0,0,0,0
23,0,0,0,0,661,1096849,1096849,21700385,661,0,0,0,0,0,0
24,0,0,0,0,659,1033775,1033775,20464122,659,0,0,0,0,0,0
25,0,0,0,0,529,965770,965768,19160607,529,0,0,0,0,0,0
26,0,0,0,0,528,902694,902694,17905484,528,0,0,0,0,0,0
27,0,0,0,0,526,839614,839614,16709938,526,0,0,0,0,0,0
28,0,0,0,0,525,776564,776564,15482092,525,0,0,0,0,0,0
29,0,0,0,0,525,713489,713489,14313381,525,0,0,0,0,0,0
30,0,0,0,0,267,641620,641616,12875220,267,0,0,0,0,0,0
31,0,0,0,0,267,578554,578554,11635278,267,0,0,0,0,0,0
32,0,0,0,0,266,515472,515472,10357099,266,0,0,0,0,0,0
33,0,0,0,0,266,452402,452402,9099735,266,0,0,0,0,0,0
34,0,0,0,0,265,389321,389321,7864134,265,0,0,0,0,0,0
35,0,0,0,0,265,326247,326247,6593318,265,0,0,0,0,0,0
36,0,0,0,0,264,263183,263183,5303602,264,0,0,0,0,0,0
37,0,0,0,0,263,200090,200090,3997835,263,0,0,0,0,0,0
38,0,0,0,0,135,132776,117596,2566480,135,0,0,0,0,0,0
39,0,0,0,0,103,67978,67977,1319192,103,0,0,0,0,0,0
40,0,0,0,0,23,7328,7301,129786,23,0,0,0,0,0,0
