Iteration,SecondaryIndex Read time (ms),SecondaryIndex Write time (ms),SecondaryIndex Del time (ms),SecondaryIndex Total time (ms),SE links,Imprint links,Checksum links,Sec. Index Size (bytes),Schema Elements (SE),Schema Relations (SR),Index Size (bytes),Graph Size (bytes),SG Read time (ms),SG Write time (ms),SG Del time (ms)
0,0,0,0,0,362,7328,7328,153284,385,3809,0,0,0,0,0
1,0,0,0,0,2410,67978,67978,1564296,2514,26016,0,0,0,0,0
2,0,0,0,0,3614,132776,132776,3125938,3750,39761,0,0,0,0,0
3,0,0,0,0,6758,200090,200090,4894754,7022,73491,0,0,0,0,0
4,0,0,0,0,7347,263183,263183,6255374,7612,81188,0,0,0,0,0
5,0,0,0,0,7745,326247,326247,7812930,8011,86436,0,0,0,0,0
6,0,0,0,0,8073,389321,389321,9288894,8339,90897,0,0,0,0,0
7,0,0,0,0,8376,452402,452402,10669462,8643,94980,0,0,0,0,0
8,0,0,0,0,8683,515472,515472,12134538,8950,99199,0,0,0,0,0
9,0,0,0,0,8938,578554,578554,13627868,9206,102653,0,0,0,0,0
10,0,0,0,0,9126,641620,641620,15045601,9394,105326,0,0,0,0,0
11,0,0,0,0,15922,713489,713489,17869791,16447,178564,0,0,0,0,0
12,0,0,0,0,16304,776564,776564,18870255,16829,183580,0,0,0,0,0
13,0,0,0,0,16626,839614,839614,20327236,17152,187987,0,0,0,0,0
14,0,0,0,0,16969,902694,902694,21820835,17497,192532,0,0,0,0,0
15,0,0,0,0,17308,965770,965770,23258457,17838,197000,0,0,0,0,0
16,0,0,0,0,20899,1033775,1033775,25911628,21559,236240,0,0,0,0,0
17,0,0,0,0,21255,1096849,1096849,26731088,21917,240897,0,0,0,0,0
18,0,0,0,0,21539,1159924,1159924,28174620,22202,244689,0,0,0,0,0
19,0,0,0,0,21908,1222998,1222998,29726156,22575,249477,0,0,0,0,0
20,0,0,0,0,22211,1286066,1286066,31220602,22879,253509,0,0,0,0,0
21,0,0,0,0,21908,1222998,1222998,29500176,22575,249477,0,0,0,0,0
22,0,0,0,0,21539,1159924,1159924,27963783,22202,244690,0,0,0,0,0
23,0,0,0,0,21255,1096849,1096849,26439147,21917,240896,0,0,0,0,0
24,0,0,0,0,20899,1033775,1033775,24950179,21559,236240,0,0,0,0,0
25,0,0,0,0,17308,965770,965770,23827410,17839,197002,0,0,0,0,0
26,0,0,0,0,16969,902694,902694,21653427,17498,192534,0,0,0,0,0
27,0,0,0,0,16626,839614,839614,20080347,17152,187989,0,0,0,0,0
28,0,0,0,0,16304,776564,776564,18511190,16829,183582,0,0,0,0,0
29,0,0,0,0,15922,713489,713489,17016166,16447,178566,0,0,0,0,0
30,0,0,0,0,9126,641620,641620,15617781,9394,105324,0,0,0,0,0
31,0,0,0,0,8938,578554,578554,13683623,9206,102651,0,0,0,0,0
32,0,0,0,0,8683,515472,515472,12047747,8950,99197,0,0,0,0,0
33,0,0,0,0,8376,452402,452402,10598721,8643,94979,0,0,0,0,0
34,0,0,0,0,8073,389321,389321,9227466,8339,90897,0,0,0,0,0
35,0,0,0,0,7745,326247,326247,7650659,8011,86436,0,0,0,0,0
36,0,0,0,0,7347,263183,263183,6173585,7612,81188,0,0,0,0,0
37,0,0,0,0,6758,200090,200090,4686220,7022,73491,0,0,0,0,0
38,0,0,0,0,3614,132776,132776,3127246,3750,39761,0,0,0,0,0
39,0,0,0,0,2410,67978,67978,1566397,2514,26016,0,0,0,0,0
40,0,0,0,0,362,7328,7328,158601,385,3809,0,0,0,0,0
