Iteration,SecondaryIndex Read time (ms),SecondaryIndex Write time (ms),SecondaryIndex Del time (ms),SecondaryIndex Total time (ms),SE links,Imprint links,Checksum links,Sec. Index Size (bytes), Sec. Index Memory Size (bytes), Schema Elements (SE),Schema Relations (SR),Index Size (bytes),Graph Size (bytes),SG Read time (ms),SG Write time (ms),SG Del time (ms)
0,0,0,0,0,0,0,0,0,725323536,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,682335792,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,740253784,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,737214840,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,728451400,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,681126504,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,733809224,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,736188080,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,737727616,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,671763112,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,748591320,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,678183696,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,735500560,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,668678208,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,636182568,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,729582808,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,730338672,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,730085584,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,727215384,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,696489464,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,582844656,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,832,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,526348128,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,548157888,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,550910960,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,538389544,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,475567872,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,481642048,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,483294864,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,478862976,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,480781264,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,493591440,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,491601952,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,477067536,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,477691560,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0,480857232,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,479676480,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0,466995432,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,448717616,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,548751744,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,543255088,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,541913424,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,500562432,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0,548063104,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,480585032,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,499684536,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,663001600,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,508566896,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,515198080,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,512819776,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,508018256,0,0,0,0,0,0,0
