Iteration,SecondaryIndex Read time (ms),SecondaryIndex Write time (ms),SecondaryIndex Del time (ms),SecondaryIndex Total time (ms),SE links,Imprint links,Checksum links,Sec. Index Size (bytes),Schema Elements (SE),Schema Relations (SR),Index Size (bytes),Graph Size (bytes),SG Read time (ms),SG Write time (ms),SG Del time (ms)
0,0,0,0,0,23,7328,5091,123326,23,0,0,0,0,0,0
1,0,0,0,0,103,67978,67950,1345502,103,0,0,0,0,0,0
2,0,0,0,0,135,132776,130713,2690388,135,0,0,0,0,0,0
3,0,0,0,0,263,200090,197812,4065861,263,0,0,0,0,0,0
4,0,0,0,0,264,263183,263183,5394740,264,0,0,0,0,0,0
5,0,0,0,0,265,326247,326247,6678491,265,0,0,0,0,0,0
6,0,0,0,0,265,389321,389321,7980350,265,0,0,0,0,0,0
7,0,0,0,0,266,452402,452402,9256175,266,0,0,0,0,0,0
8,0,0,0,0,266,515472,515472,10523555,266,0,0,0,0,0,0
9,0,0,0,0,267,578554,578554,11809410,267,0,0,0,0,0,0
10,0,0,0,0,267,641620,641620,12997684,267,0,0,0,0,0,0
11,0,0,0,0,525,713489,710549,14404890,525,0,0,0,0,0,0
12,0,0,0,0,525,776564,776564,15691507,525,0,0,0,0,0,0
13,0,0,0,0,526,839614,839614,16908539,526,0,0,0,0,0,0
14,0,0,0,0,528,902694,902694,18149382,528,0,0,0,0,0,0
15,0,0,0,0,529,965770,965770,19378956,529,0,0,0,0,0,0
16,0,0,0,0,659,1033775,1033773,20671116,659,0,0,0,0,0,0
17,0,0,0,0,661,1096849,1096849,21930713,661,0,0,0,0,0,0
18,0,0,0,0,662,1159924,1159924,23161620,662,0,0,0,0,0,0
19,0,0,0,0,666,1222998,1222998,24377548,666,0,0,0,0,0,0
20,0,0,0,0,667,1286066,1286066,25482561,667,0,0,0,0,0,0
21,0,0,0,0,666,1222998,1222998,24161586,666,0,0,0,0,0,0
22,0,0,0,0,662,1159924,1159924,23038940,662,0,0,0,0,0,0
23,0,0,0,0,661,1096849,1096849,21838484,661,0,0,0,0,0,0
24,0,0,0,0,659,1033775,1033775,20618063,659,0,0,0,0,0,0
25,0,0,0,0,529,965770,965768,19237851,529,0,0,0,0,0,0
26,0,0,0,0,528,902694,902694,18050390,528,0,0,0,0,0,0
27,0,0,0,0,526,839614,839614,16851982,526,0,0,0,0,0,0
28,0,0,0,0,525,776564,776564,15579141,525,0,0,0,0,0,0
29,0,0,0,0,525,713489,713489,14353819,525,0,0,0,0,0,0
30,0,0,0,0,267,641620,641612,12896138,267,0,0,0,0,0,0
31,0,0,0,0,267,578554,578554,11664625,267,0,0,0,0,0,0
32,0,0,0,0,266,515472,515472,10433590,266,0,0,0,0,0,0
33,0,0,0,0,266,452402,452402,9158261,266,0,0,0,0,0,0
34,0,0,0,0,265,389321,389321,7900200,265,0,0,0,0,0,0
35,0,0,0,0,265,326247,326247,6618255,265,0,0,0,0,0,0
36,0,0,0,0,264,263183,263183,5334419,264,0,0,0,0,0,0
37,0,0,0,0,263,200090,200090,4049581,263,0,0,0,0,0,0
38,0,0,0,0,135,132776,132724,2653113,135,0,0,0,0,0,0
39,0,0,0,0,103,67978,67922,1340346,103,0,0,0,0,0,0
40,0,0,0,0,23,7328,7196,131003,23,0,0,0,0,0,0
