Iteration,Load Graph,Parse Graph,Partition Graph,Schema Computation,Updates,Total,Batch
0,461053,146896,762075,91296,286483,1747804,1810321
1,436259,456912,465052,86738,283538,1728500,1798127
2,462100,304040,605809,89074,301528,1762553,1798543
3,442514,471111,450996,89766,299694,1754082,1797228
4,464494,155045,742027,95995,291634,1749196,1841167
5,452139,463129,447866,94866,289477,1747477,1830735
6,444868,290565,617851,97212,281761,1732259,1825745
7,459819,167106,727862,95579,284940,1735307,1827169
8,453847,315290,599711,89501,292202,1750552,1821880
9,462016,170590,739117,93026,284649,1749400,1839624
