Iteration,Load Graph,Parse Graph,Partition Graph,Schema Computation,Updates,Total,Batch
0,2764931,2641187,3025499,247040,22389475,31068132,32289964.0
1,2908053,2563019,2779098,273538,15762909,24286617,39575884.0
2,2945038,2615385,2840614,248896,8402948,17052881,36164709.0
3,3543288,4178263,3887617,537948,13972579,26119695,40691185.0
4,4542920,4206853,3812291,395463,17226868,30184395,40683924.0
5,3058825,91718,5477406,346093,7255919,16229961,30581766.0
6,3864645,103038,6915835,408220,14956113,26247851,37467887.0
7,3464955,3995834,3803105,316150,16679139,28259183,35499546.0
8,4140042,133610,7271216,417621,18896114,30858603,
9,4129171,178258,7485634,441140,8157613,20391816,
