,SE-ADD,SE-DEL,SE-MOD,SE-unchanged,instances,stability-ratio,change-ratio,update-ratio
schemex:min,55.0,0.0,0.0,0.0,7328.0,0.0,,
schemex:max,15783.0,15783.0,1137776.0,85408.0,1286066.0,0.1539301310043668,,
schemex:mean,1929.1463414634147,1920.3170731707316,557758.1463414634,41647.65853658537,630716.1463414634,0.0671690984176434,,
schemex:std,3576.659821404432,3581.0692567934534,357510.0546843096,26316.187277614667,384445.82999270264,0.024261118619928034,,
attribute:min,0.0,0.0,0.0,0.0,7328.0,0.0,,
attribute:max,48.0,4.0,10525.0,1222984.0,1286066.0,0.999996934837715,,
attribute:mean,2.097560975609756,0.926829268292683,970.4146341463414,598381.0243902439,630716.1463414634,0.8893514576147054,,
attribute:std,7.439102358647789,1.1702615926031033,2683.9555694497794,381697.37983090006,384445.82999270264,0.21710197294588987,,
type:min,0.0,0.0,0.0,0.0,7328.0,0.0,,
type:max,513.0,513.0,30021.0,1222984.0,1286066.0,0.999996934837715,,
type:mean,51.58536585365854,51.02439024390244,2744.756097560976,596606.8780487805,630716.1463414634,0.885483856116142,,
type:std,113.75631314563516,113.95733583338942,7629.604746579234,381016.1674476029,384445.82999270264,0.21699091761535938,,
