t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1607843203,19,0.054534,0.008914,0.000160,0.007624,0.006333,0.006463,0.020426,0.020426,0.020426,0.054534,0.063328,0.022719,0.322876,0.589287,calls/second,milliseconds
1607843503,68,0.182286,0.012720,0.000120,0.020807,0.003620,0.007732,0.053597,0.055866,0.055866,0.182286,0.113327,0.108046,0.223729,0.469118,calls/second,milliseconds
1607843803,73,0.182286,0.004415,0.000120,0.006989,0.001589,0.009026,0.009026,0.010806,0.037433,0.055866,0.081109,0.015968,0.092736,0.340848,calls/second,milliseconds
1607844103,78,0.182286,0.008846,0.000120,0.007557,0.008802,0.008802,0.029646,0.029646,0.029646,0.029646,0.064998,0.015348,0.044546,0.248939,calls/second,milliseconds
1607844403,83,0.182286,0.005985,0.000120,0.002354,0.005551,0.008343,0.008343,0.010577,0.010577,0.029646,0.055332,0.015344,0.026818,0.183083,calls/second,milliseconds
1607844703,88,0.182286,0.008907,0.000120,0.004237,0.010932,0.010932,0.015220,0.015220,0.015220,0.015220,0.048888,0.015344,0.020297,0.135895,calls/second,milliseconds
1607845003,98,0.182286,0.004015,0.000120,0.004031,0.001748,0.002711,0.011193,0.011193,0.011193,0.015220,0.046666,0.016036,0.024290,0.106120,calls/second,milliseconds
1607845303,103,0.182286,0.003654,0.000120,0.002885,0.001540,0.006877,0.008750,0.008750,0.008750,0.011193,0.042916,0.015348,0.019366,0.080749,calls/second,milliseconds
1607845603,108,0.182286,0.008986,0.000120,0.002756,0.010495,0.010495,0.010495,0.010495,0.010495,0.010495,0.040000,0.015344,0.017555,0.062570,calls/second,milliseconds
1607845771,115,0.182286,0.013278,0.000120,0.019371,0.004330,0.008849,0.053038,0.053038,0.053038,0.053038,0.040108,0.019702,0.017955,0.055151,calls/second,milliseconds
1607845771,115,0.182286,0.013278,0.000120,0.019371,0.004330,0.008849,0.053038,0.053038,0.053038,0.053038,0.040108,0.019702,0.017955,0.055151,calls/second,milliseconds
