t,value
1608014882,2555904
1608015182,2555904
1608015482,2555904
1608015782,2555904
1608016082,2555904
1608016382,2555904
1608016682,2555904
1608016982,2555904
1608017282,2555904
1608017582,2555904
1608017882,2555904
1608018182,2555904
1608018482,2555904
1608018782,2555904
1608019082,2555904
1608019382,2555904
1608019682,2555904
1608019982,2555904
1608020282,2555904
1608020582,2555904
1608020882,2555904
1608021182,2555904
1608021482,2555904
1608021782,2555904
1608022082,2555904
1608022382,2555904
1608022682,2555904
1608022982,2555904
1608023282,2555904
1608023582,2555904
1608023882,2555904
1608024182,2555904
1608024482,2555904
1608024782,2555904
1608025082,2555904
1608025382,2555904
1608025682,2555904
1608025982,2555904
1608026282,2555904
1608026582,2555904
1608026882,2555904
1608027182,2555904
1608027482,2555904
1608027782,2555904
1608028082,2555904
1608028382,2555904
1608028682,2555904
1608028982,2555904
1608029282,2555904
1608029582,2555904
1608029882,2555904
1608030182,2555904
1608030482,2555904
1608030782,2555904
1608031082,2555904
1608031382,2555904
1608031682,2555904
1608031982,2555904
1608032282,2555904
1608032582,2555904
1608032882,2555904
1608033182,2555904
1608033482,2555904
1608033782,2555904
1608034082,2555904
1608034382,2555904
1608034682,2555904
1608034982,2555904
1608035282,2555904
1608035582,2555904
1608035882,2555904
1608036182,2555904
1608036482,2555904
1608036782,2555904
1608037082,2555904
1608037382,2555904
1608037682,2555904
1608037982,2555904
1608038282,2555904
1608038582,2555904
1608038882,2555904
1608039182,2555904
1608039482,2555904
1608039782,2555904
1608040082,2555904
1608040382,2555904
1608040682,2555904
1608040982,2555904
1608041282,2555904
1608041582,2555904
1608041882,2555904
1608042182,2555904
1608042482,2555904
1608042782,2555904
1608043082,2555904
1608043382,2555904
1608043682,2555904
1608043982,2555904
1608044282,2555904
1608044582,2555904
1608044882,2555904
1608045182,2555904
1608045482,2555904
1608045782,2555904
1608046082,2555904
1608046382,2555904
1608046682,2555904
1608046982,2555904
1608047282,2555904
1608047582,2555904
1608047882,2555904
1608048182,2555904
1608048482,2555904
1608048782,2555904
1608049082,2555904
1608049382,2555904
1608049682,2555904
1608049982,2555904
1608050282,2555904
1608050582,2555904
1608050882,2555904
1608051182,2555904
1608051482,2555904
1608051782,2555904
1608052082,2555904
1608052382,2555904
1608052682,2555904
1608052982,2555904
1608053282,2555904
1608053582,2555904
1608053882,2555904
1608054182,2555904
1608054482,2555904
1608054782,2555904
1608055082,2555904
1608055382,2555904
1608055682,2555904
1608055982,2555904
1608056282,2555904
1608056582,2555904
1608056882,2555904
1608057182,2555904
1608057482,2555904
1608057782,2555904
1608058082,2555904
1608058382,2555904
1608058682,2555904
1608058982,2555904
1608059282,2555904
1608059582,2555904
1608059882,2555904
1608060182,2555904
1608060482,2555904
1608060782,2555904
1608061082,2555904
1608061382,2555904
1608061682,2555904
1608061982,2555904
1608062282,2555904
1608062445,2555904
1608062445,2555904
