t,value
1608109348,1561728
1608109648,1561728
1608109948,1561728
1608110248,1561728
1608110548,1561728
1608110848,1561728
1608111148,1561728
1608111448,1561728
1608111748,1561728
1608112048,1561728
1608112348,1561728
1608112648,1561728
1608112948,1561728
1608113248,1561728
1608113548,1561728
1608113848,1561728
1608114148,1561728
1608114448,1561728
1608114748,1561728
1608115048,1561728
1608115348,1561728
1608115648,1561728
1608115948,1561728
1608116248,1561728
1608116548,1561728
1608116848,1561728
1608117148,1561728
1608117448,1561728
1608117748,1561728
1608118048,1561728
1608118348,1561728
1608118648,1561728
1608118948,1561728
1608119248,1561728
1608119548,1561728
1608119848,1561728
1608120148,1561728
1608120448,1561728
1608120748,1561728
1608121048,1561728
1608121348,1561728
1608121648,1561728
1608121948,1561728
1608122248,1561728
1608122548,1561728
1608122848,1561728
1608123148,1561728
1608123448,1561728
1608123748,1561728
1608124048,1561728
1608124348,1561728
1608124648,1561728
1608124948,1561728
1608125248,1561728
1608125548,1561728
1608125848,1561728
1608126148,1561728
1608126448,1561728
1608126748,1561728
1608127048,1561728
1608127348,1561728
1608127648,1561728
1608127948,1561728
1608128248,1561728
1608128548,1561728
1608128848,1561728
1608129148,1561728
1608129448,1561728
1608129748,1561728
1608130048,1561728
1608130348,1561728
1608130648,1561728
1608130948,1561728
1608131248,1561728
1608131548,1561728
1608131848,1561728
1608132148,1561728
1608132448,1561728
1608132748,1561728
1608133048,1561728
1608133348,1561728
1608133648,1561728
1608133948,1561728
1608134248,1561728
1608134548,1561728
1608134848,1561728
1608135148,1561728
1608135448,1561728
1608135748,1561728
1608136048,1561728
1608136348,1561728
1608136648,1561728
1608136948,1561728
1608137248,1561728
1608137548,1561728
1608137848,1561728
1608138148,1561728
1608138448,1561728
1608138748,1561728
1608139048,1561728
1608139348,1561728
1608139648,1561728
1608139948,1561728
1608140248,1561728
1608140548,1561728
1608140848,1561728
1608141148,1561728
1608141448,1561728
1608141748,1561728
1608142048,1561728
1608142348,1561728
1608142648,1561728
1608142948,1561728
1608143248,1561728
1608143548,1561728
1608143848,1561728
1608144148,1561728
1608144448,1561728
1608144748,1561728
1608145048,1561728
1608145348,1561728
1608145648,1561728
1608145948,1561728
1608146248,1561728
1608146548,1561728
1608146848,1561728
1608147148,1561728
1608147448,1561728
1608147748,1561728
1608148048,1561728
1608148348,1561728
1608148648,1561728
1608148948,1561728
1608149248,1561728
1608149548,1561728
1608149848,1561728
1608150148,1561728
1608150448,1561728
1608150748,1561728
1608151048,1561728
1608151348,1561728
1608151648,1561728
1608151948,1561728
1608152248,1561728
1608152417,1561728
1608152417,1561728
