t,count
1608242182,21
1608242482,71
1608242782,76
1608243082,81
1608243382,86
1608243689,92
1608243982,102
1608244282,107
1608244582,112
1608244882,117
1608245182,122
1608245482,127
1608245782,132
1608246082,137
1608246382,142
1608246682,147
1608246982,152
1608247282,157
1608247582,162
1608247882,167
1608248182,172
1608248482,177
1608248782,182
1608249082,187
1608249382,192
1608249682,197
1608249982,202
1608250282,207
1608250582,212
1608250882,217
1608251182,222
1608251482,227
1608251782,232
1608252082,237
1608252382,242
1608252682,247
1608252982,252
1608253282,257
1608253582,262
1608253882,267
1608254182,272
1608254482,277
1608254782,282
1608255082,287
1608255382,292
1608255682,297
1608255982,302
1608256282,307
1608256582,312
1608256882,317
1608257182,322
1608257482,327
1608257782,332
1608258082,337
1608258382,342
1608258682,347
1608258982,352
1608259282,357
1608259582,362
1608259882,367
1608260182,372
1608260482,377
1608260782,382
1608261082,387
1608261382,392
1608261682,397
1608261982,402
1608262282,407
1608262582,412
1608262882,417
1608263182,422
1608263482,427
1608263782,432
1608264082,437
1608264382,442
1608264682,447
1608264982,452
1608265282,457
1608265582,462
1608265882,467
1608266182,472
1608266482,477
1608266782,482
1608267082,487
1608267382,492
1608267682,497
1608267982,502
1608268282,507
1608268582,512
1608268882,517
1608269182,522
1608269482,527
1608269782,532
1608270082,537
1608270382,542
1608270682,547
1608270982,552
1608271282,557
1608271582,562
1608271882,567
1608272182,572
1608272482,577
1608272782,582
1608273082,587
1608273382,592
1608273682,597
1608273982,602
1608274282,607
1608274582,612
1608274882,617
1608275182,622
1608275482,627
1608275782,632
1608276082,637
1608276382,642
1608276682,647
1608276982,652
1608277282,657
1608277582,662
1608277882,667
1608278182,672
1608278482,677
1608278782,682
1608279082,687
1608279382,692
1608279682,697
1608279982,702
1608280282,707
1608280582,712
1608280882,717
1608281182,722
1608281482,727
1608281782,732
1608281789,733
1608281789,733
