t,value
1608282766,322122547200
1608283066,322122547200
1608283366,322122547200
1608283666,322122547200
1608283966,322122547200
1608284266,322122547200
1608284566,322122547200
1608284866,322122547200
1608285166,322122547200
1608285466,322122547200
1608285766,322122547200
1608286066,322122547200
1608286366,322122547200
1608286666,322122547200
1608286966,322122547200
1608287266,322122547200
1608287566,322122547200
1608287866,322122547200
1608288166,322122547200
1608288466,322122547200
1608288766,322122547200
1608289066,322122547200
1608289366,322122547200
1608289666,322122547200
1608289966,322122547200
1608290266,322122547200
1608290566,322122547200
1608290866,322122547200
1608291166,322122547200
1608291466,322122547200
1608291766,322122547200
1608292066,322122547200
1608292366,322122547200
1608292666,322122547200
1608292966,322122547200
1608293266,322122547200
1608293566,322122547200
1608293866,322122547200
1608294166,322122547200
1608294466,322122547200
1608294766,322122547200
1608295066,322122547200
1608295366,322122547200
1608295666,322122547200
1608295966,322122547200
1608296266,322122547200
1608296566,322122547200
1608296866,322122547200
1608297166,322122547200
1608297466,322122547200
1608297766,322122547200
1608298066,322122547200
1608298366,322122547200
1608298666,322122547200
1608298966,322122547200
1608299266,322122547200
1608299566,322122547200
1608299866,322122547200
1608300166,322122547200
1608300466,322122547200
1608300766,322122547200
1608301066,322122547200
1608301366,322122547200
1608301666,322122547200
1608301966,322122547200
1608302266,322122547200
1608302566,322122547200
1608302866,322122547200
1608303166,322122547200
1608303466,322122547200
1608303766,322122547200
1608304066,322122547200
1608304366,322122547200
1608304666,322122547200
1608304966,322122547200
1608305266,322122547200
1608305566,322122547200
1608305866,322122547200
1608306166,322122547200
1608306466,322122547200
1608306766,322122547200
1608307066,322122547200
1608307366,322122547200
1608307666,322122547200
1608307966,322122547200
1608308266,322122547200
1608308566,322122547200
1608308866,322122547200
1608309166,322122547200
1608309466,322122547200
1608309766,322122547200
1608310066,322122547200
1608310366,322122547200
1608310666,322122547200
1608310966,322122547200
1608311266,322122547200
1608311566,322122547200
1608311866,322122547200
1608312166,322122547200
1608312466,322122547200
1608312766,322122547200
1608313066,322122547200
1608313366,322122547200
1608313666,322122547200
1608313966,322122547200
1608314266,322122547200
1608314566,322122547200
1608314866,322122547200
1608315166,322122547200
1608315466,322122547200
1608315766,322122547200
1608316066,322122547200
1608316366,322122547200
1608316666,322122547200
1608316966,322122547200
1608317266,322122547200
1608317566,322122547200
1608317866,322122547200
1608318166,322122547200
1608318466,322122547200
1608318766,322122547200
1608319066,322122547200
1608319366,322122547200
1608319666,322122547200
1608319828,322122547200
1608319828,322122547200
