t,value
1608282766,48917611272
1608283066,67832611832
1608283366,67852679216
1608283666,67854983944
1608283966,68023403568
1608284266,68028848008
1608284566,15965698248
1608284866,15950998056
1608285166,15932107608
1608285466,15975400104
1608285766,15967405064
1608286066,15933138888
1608286366,15912085552
1608286666,15974562696
1608286966,15967444744
1608287266,15909190752
1608287566,15942288984
1608287866,15941964544
1608288166,15911087168
1608288466,15950814752
1608288766,15945029376
1608289066,15918003464
1608289366,15949352672
1608289666,15932760392
1608289966,15909207288
1608290266,15925193264
1608290566,15916017704
1608290866,15895643712
1608291166,15912719840
1608291466,15945702416
1608291766,15912480024
1608292066,15950615064
1608292366,15951094424
1608292666,15922563192
1608292966,15944961272
1608293266,15945853496
1608293566,15899972848
1608293866,15938651168
1608294166,15933515856
1608294466,15887945752
1608294766,15945997744
1608295066,15939015760
1608295366,15922624424
1608295666,15959991112
1608295966,15959954664
1608296266,15959763304
1608296566,15959793832
1608296866,15931455968
1608297166,15965262728
1608297466,15958186952
1608297766,15972176280
1608298066,15954223872
1608298366,15965490192
1608298666,15965590680
1608298966,15943910960
1608299266,15934353152
1608299566,15935225976
1608299866,15957259936
1608300166,15943269920
1608300466,15948817008
1608300766,15964326144
1608301066,15965601960
1608301366,15973109320
1608301666,15972847920
1608301966,15966761768
1608302266,15973090552
1608302566,15958091072
1608302866,15942020056
1608303166,15943541888
1608303466,15943209528
1608303766,15942833376
1608304066,15943996584
1608304366,15973143112
1608304666,15971749768
1608304966,15961722856
1608305266,15945514160
1608305566,15970905368
1608305866,15947202680
1608306166,15970599720
1608306466,15964482720
1608306766,15970915224
1608307066,15942216904
1608307366,15945595640
1608307666,15971227344
1608307966,15964336008
1608308266,15971153024
1608308566,15970298728
1608308866,15950280296
1608309166,15970914360
1608309466,15963267416
1608309766,15940840072
1608310066,15935450888
1608310366,15950726840
1608310666,15933795288
1608310966,15941597280
1608311266,15947151928
1608311566,15948142576
1608311866,15962759992
1608312166,15960347416
1608312466,15958411872
1608312766,15970207288
1608313066,15970858776
1608313366,15969859160
1608313666,15962749440
1608313966,15968939920
1608314266,15970250128
1608314566,15970211952
1608314866,15947883856
1608315166,15962148816
1608315466,15969667592
1608315766,15968682104
1608316066,15970049160
1608316366,15942174968
1608316666,15940822848
1608316966,15967633448
1608317266,15968645568
1608317566,15969796272
1608317866,15969351328
1608318166,15969720616
1608318466,15954769632
1608318766,15939460904
1608319066,15965920664
1608319366,15950830344
1608319666,15962167288
1608319828,15945617640
1608319828,15945617640
