t,value
1608282766,1.0
1608283066,1.0
1608283366,1.0
1608283666,1.0
1608283966,1.0
1608284266,1.0
1608284566,1.0
1608284866,1.0
1608285166,1.0
1608285466,1.0
1608285766,1.0
1608286066,1.0
1608286366,1.0
1608286666,1.0
1608286966,1.0
1608287266,1.0
1608287566,1.0
1608287866,1.0
1608288166,1.0
1608288466,1.0
1608288766,1.0
1608289066,1.0
1608289366,1.0
1608289666,1.0
1608289966,1.0
1608290266,1.0
1608290566,1.0
1608290866,1.0
1608291166,1.0
1608291466,1.0
1608291766,1.0
1608292066,1.0
1608292366,1.0
1608292666,1.0
1608292966,1.0
1608293266,1.0
1608293566,1.0
1608293866,1.0
1608294166,1.0
1608294466,1.0
1608294766,1.0
1608295066,1.0
1608295366,1.0
1608295666,1.0
1608295966,1.0
1608296266,1.0
1608296566,1.0
1608296866,1.0
1608297166,1.0
1608297466,1.0
1608297766,1.0
1608298066,1.0
1608298366,1.0
1608298666,1.0
1608298966,1.0
1608299266,1.0
1608299566,1.0
1608299866,1.0
1608300166,1.0
1608300466,1.0
1608300766,1.0
1608301066,1.0
1608301366,1.0
1608301666,1.0
1608301966,1.0
1608302266,1.0
1608302566,1.0
1608302866,1.0
1608303166,1.0
1608303466,1.0
1608303766,1.0
1608304066,1.0
1608304366,1.0
1608304666,1.0
1608304966,1.0
1608305266,1.0
1608305566,1.0
1608305866,1.0
1608306166,1.0
1608306466,1.0
1608306766,1.0
1608307066,1.0
1608307366,1.0
1608307666,1.0
1608307966,1.0
1608308266,1.0
1608308566,1.0
1608308866,1.0
1608309166,1.0
1608309466,1.0
1608309766,1.0
1608310066,1.0
1608310366,1.0
1608310666,1.0
1608310966,1.0
1608311266,1.0
1608311566,1.0
1608311866,1.0
1608312166,1.0
1608312466,1.0
1608312766,1.0
1608313066,1.0
1608313366,1.0
1608313666,1.0
1608313966,1.0
1608314266,1.0
1608314566,1.0
1608314866,1.0
1608315166,1.0
1608315466,1.0
1608315766,1.0
1608316066,1.0
1608316366,1.0
1608316666,1.0
1608316966,1.0
1608317266,1.0
1608317566,1.0
1608317866,1.0
1608318166,1.0
1608318466,1.0
1608318766,1.0
1608319066,1.0
1608319366,1.0
1608319666,1.0
1608319828,1.0
1608319828,1.0
