t,value
1608384682,178295
1608384982,178295
1608385282,178295
1608385582,178295
1608385882,178295
1608386182,178295
1608386482,178295
1608386782,178295
1608387082,178295
1608387382,178295
1608387682,178295
1608387982,178295
1608388282,178295
1608388582,178295
1608388882,178295
1608389182,178295
1608389482,178295
1608389782,178295
1608390082,178295
1608390382,178295
1608390682,178295
1608390982,178295
1608391282,178295
1608391582,178295
1608391882,178295
1608392182,178295
1608392482,178295
1608392782,178295
1608393082,178295
1608393382,178295
1608393682,178295
1608393982,178295
1608394282,178295
1608394582,178295
1608394882,178295
1608395182,178295
1608395482,178295
1608395782,178295
1608396082,178295
1608396382,178295
1608396682,178295
1608396982,178295
1608397282,178295
1608397582,178295
1608397882,178295
1608398182,178295
1608398482,178295
1608398782,178295
1608399082,178295
1608399382,178295
1608399682,178295
1608399982,178295
1608400282,178295
1608400582,178295
1608400882,178295
1608401182,178295
1608401482,178295
1608401782,178295
1608402082,178295
1608402382,178295
1608402682,178295
1608402982,178295
1608403282,178295
1608403582,178295
1608403882,178295
1608404182,178295
1608404482,178295
1608404782,178295
1608405082,178295
1608405382,178295
1608405682,178295
1608405982,178295
1608406282,178295
1608406582,178295
1608406882,178295
1608407182,178295
1608407482,178295
1608407782,178295
1608408082,178295
1608408382,178295
1608408682,178295
1608408982,178295
1608409192,178295
1608409192,178295
