t,value
1608384682,-1
1608384982,-1
1608385282,-1
1608385582,-1
1608385882,-1
1608386182,-1
1608386482,-1
1608386782,-1
1608387082,-1
1608387382,-1
1608387682,-1
1608387982,-1
1608388282,-1
1608388582,-1
1608388882,-1
1608389182,-1
1608389482,-1
1608389782,-1
1608390082,-1
1608390382,-1
1608390682,-1
1608390982,-1
1608391282,-1
1608391582,-1
1608391882,-1
1608392182,-1
1608392482,-1
1608392782,-1
1608393082,-1
1608393382,-1
1608393682,-1
1608393982,-1
1608394282,-1
1608394582,-1
1608394882,-1
1608395182,-1
1608395482,-1
1608395782,-1
1608396082,-1
1608396382,-1
1608396682,-1
1608396982,-1
1608397282,-1
1608397582,-1
1608397882,-1
1608398182,-1
1608398482,-1
1608398782,-1
1608399082,-1
1608399382,-1
1608399682,-1
1608399982,-1
1608400282,-1
1608400582,-1
1608400882,-1
1608401182,-1
1608401482,-1
1608401782,-1
1608402082,-1
1608402382,-1
1608402682,-1
1608402982,-1
1608403282,-1
1608403582,-1
1608403882,-1
1608404182,-1
1608404482,-1
1608404782,-1
1608405082,-1
1608405382,-1
1608405682,-1
1608405982,-1
1608406282,-1
1608406582,-1
1608406882,-1
1608407182,-1
1608407482,-1
1608407782,-1
1608408082,-1
1608408382,-1
1608408682,-1
1608408982,-1
1608409192,-1
1608409192,-1
