t,value
1608409953,7598080
1608410253,7598080
1608410553,7598080
1608410853,7598080
1608411153,7598080
1608411453,7598080
1608411753,7598080
1608412053,7598080
1608412353,7598080
1608412653,7598080
1608412953,7598080
1608413253,7598080
1608413553,7598080
1608413853,7598080
1608414153,7598080
1608414453,7598080
1608414753,7598080
1608415053,7598080
1608415353,7598080
1608415653,7598080
1608415953,7598080
1608416253,7598080
1608416553,7598080
1608416853,7598080
1608417153,7598080
1608417453,7598080
1608417753,7598080
1608418053,7598080
1608418353,7598080
1608418653,7598080
1608418953,7598080
1608419253,7598080
1608419553,7598080
1608419853,7598080
1608420153,7598080
1608420453,7598080
1608420753,7598080
1608421053,7598080
1608421353,7598080
1608421653,7598080
1608421953,7598080
1608422253,7598080
1608422553,7598080
1608422853,7598080
1608423153,7598080
1608423453,7598080
1608423753,7598080
1608424053,7598080
1608424353,7598080
1608424653,7598080
1608424953,7598080
1608425253,7598080
1608425553,7598080
1608425853,7598080
1608426153,7598080
1608426453,7598080
1608426753,7598080
1608427053,7598080
1608427353,7598080
1608427653,7598080
1608427953,7598080
1608428253,7598080
1608428553,7598080
1608428853,7598080
1608429153,7598080
1608429453,7598080
1608429753,7598080
1608430053,7598080
1608430353,7598080
1608430653,7598080
1608430953,7598080
1608431253,7598080
1608431553,7598080
1608431795,7598080
1608431795,7598080
