t,value
1608432503,173694976
1608432803,173694976
1608433103,173694976
1608433403,173694976
1608433703,173694976
1608434003,173694976
1608434303,173694976
1608434603,173694976
1608434903,173694976
1608435203,173694976
1608435503,173694976
1608435803,173694976
1608436103,173694976
1608436403,173694976
1608436703,173694976
1608437003,173694976
1608437303,173694976
1608437603,173694976
1608437903,173694976
1608438203,173694976
1608438503,173694976
1608438803,173694976
1608439103,173694976
1608439403,173694976
1608439703,173694976
1608440003,173694976
1608440303,173694976
1608440603,173694976
1608440903,173694976
1608441203,173694976
1608441503,173694976
1608441803,173694976
1608442103,173694976
1608442403,173694976
1608442703,173694976
1608443003,173694976
1608443303,173694976
1608443603,173694976
1608443903,173694976
1608444203,173694976
1608444503,173694976
1608444803,173694976
1608445103,173694976
1608445403,173694976
1608445703,173694976
1608446003,173694976
1608446303,173694976
1608446603,173694976
1608446903,173694976
1608447203,173694976
1608447503,173694976
1608447803,173694976
1608448103,173694976
1608448403,173694976
1608448703,173694976
1608449003,173694976
1608449303,173694976
1608449603,173694976
1608449903,173694976
1608450203,173694976
1608450503,173694976
1608450803,173694976
1608451103,173694976
1608451403,173694976
1608451489,173694976
1608451489,173694976
