t,value
1608468778,7147094016
1608469078,7147094016
1608469378,7717519360
1608469678,13220446208
1608469978,22045261824
1608470278,26508001280
1608470578,24729616384
1608470878,24998051840
1608471178,25199378432
1608471478,25333596160
1608471778,25434259456
1608472078,25501368320
1608472378,25467813888
1608472678,25501368320
1608472978,25534922752
1608473278,25534922752
1608473578,25568477184
1608473878,25568477184
1608474178,25467813888
1608474478,25467813888
1608474778,25467813888
1608475078,25467813888
1608475378,25467813888
1608475678,25467813888
1608475978,25400705024
1608476278,25400705024
1608476578,25400705024
1608476878,25400705024
1608477178,25400705024
1608477478,25400705024
1608477778,25333596160
1608478078,25400705024
1608478378,25400705024
1608478678,25400705024
1608478978,25400705024
1608479278,25400705024
1608479578,25400705024
1608479878,25400705024
1608480178,25400705024
1608480478,25400705024
1608480778,25400705024
1608481078,25400705024
1608481167,25266487296
1608481167,25266487296
