t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1608525258,5,18.345103,3.676448,0.002371,7.334332,0.006156,0.025320,18.345103,18.345103,18.345103,18.345103,0.016666,0.007324,0.374062,0.720523,calls/second,milliseconds
1608525558,12,18.345103,2.118851,0.002371,4.064326,0.046017,1.086962,11.171239,11.171239,11.171239,11.171239,0.020000,0.063224,0.158098,0.523722,calls/second,milliseconds
1608525858,28,18.345103,1.472690,0.002371,2.901182,0.258710,0.826051,11.171239,12.019984,12.019984,12.019984,0.031110,0.006840,0.082199,0.388865,calls/second,milliseconds
1608526158,28,18.345103,1.472690,0.002371,2.901182,0.258710,0.826051,11.171239,12.019984,12.019984,12.019984,0.023333,0.000046,0.030239,0.278634,calls/second,milliseconds
1608526458,28,18.345103,1.472690,0.002371,2.901182,0.258710,0.826051,11.171239,12.019984,12.019984,12.019984,0.018666,0.000000,0.011124,0.199650,calls/second,milliseconds
1608526758,28,18.345103,1.472690,0.002371,2.901182,0.258710,0.826051,11.171239,12.019984,12.019984,12.019984,0.015555,0.000000,0.004092,0.143055,calls/second,milliseconds
1608527058,28,18.345103,1.472690,0.002371,2.901182,0.258710,0.826051,11.171239,12.019984,12.019984,12.019984,0.013333,0.000000,0.001506,0.102504,calls/second,milliseconds
1608527358,28,18.345103,1.472690,0.002371,2.901182,0.258710,0.826051,11.171239,12.019984,12.019984,12.019984,0.011667,0.000000,0.000554,0.073447,calls/second,milliseconds
1608527658,28,18.345103,1.472690,0.002371,2.901182,0.258710,0.826051,11.171239,12.019984,12.019984,12.019984,0.010370,0.000000,0.000204,0.052627,calls/second,milliseconds
1608527958,28,18.345103,1.472690,0.002371,2.901182,0.258710,0.826051,11.171239,12.019984,12.019984,12.019984,0.009333,0.000000,0.000075,0.037709,calls/second,milliseconds
1608528258,28,18.345103,1.472690,0.002371,2.901182,0.258710,0.826051,11.171239,12.019984,12.019984,12.019984,0.008485,0.000000,0.000028,0.027020,calls/second,milliseconds
1608528558,28,18.345103,1.472690,0.002371,2.901182,0.258710,0.826051,11.171239,12.019984,12.019984,12.019984,0.007778,0.000000,0.000010,0.019360,calls/second,milliseconds
1608528858,28,18.345103,1.472690,0.002371,2.901182,0.258710,0.826051,11.171239,12.019984,12.019984,12.019984,0.007179,0.000000,0.000004,0.013872,calls/second,milliseconds
1608529158,28,18.345103,1.472690,0.002371,2.901182,0.258710,0.826051,11.171239,12.019984,12.019984,12.019984,0.006667,0.000000,0.000001,0.009940,calls/second,milliseconds
1608529458,28,18.345103,1.472690,0.002371,2.901182,0.258710,0.826051,11.171239,12.019984,12.019984,12.019984,0.006222,0.000000,0.000001,0.007122,calls/second,milliseconds
1608529758,28,18.345103,1.472690,0.002371,2.901182,0.258710,0.826051,11.171239,12.019984,12.019984,12.019984,0.005833,0.000000,0.000000,0.005103,calls/second,milliseconds
1608530058,28,18.345103,1.472690,0.002371,2.901182,0.258710,0.826051,11.171239,12.019984,12.019984,12.019984,0.005490,0.000000,0.000000,0.003657,calls/second,milliseconds
1608530358,28,18.345103,1.472690,0.002371,2.901182,0.258710,0.826051,11.171239,12.019984,12.019984,12.019984,0.005185,0.000000,0.000000,0.002620,calls/second,milliseconds
1608530658,28,18.345103,1.472690,0.002371,2.901182,0.258710,0.826051,11.171239,12.019984,12.019984,12.019984,0.004912,0.000000,0.000000,0.001877,calls/second,milliseconds
1608530958,28,18.345103,1.472690,0.002371,2.901182,0.258710,0.826051,11.171239,12.019984,12.019984,12.019984,0.004667,0.000000,0.000000,0.001345,calls/second,milliseconds
1608531258,28,18.345103,1.472690,0.002371,2.901182,0.258710,0.826051,11.171239,12.019984,12.019984,12.019984,0.004444,0.000000,0.000000,0.000964,calls/second,milliseconds
1608531558,28,18.345103,1.472690,0.002371,2.901182,0.258710,0.826051,11.171239,12.019984,12.019984,12.019984,0.004242,0.000000,0.000000,0.000691,calls/second,milliseconds
1608531858,28,18.345103,1.472690,0.002371,2.901182,0.258710,0.826051,11.171239,12.019984,12.019984,12.019984,0.004058,0.000000,0.000000,0.000495,calls/second,milliseconds
1608532158,28,18.345103,1.472690,0.002371,2.901182,0.258710,0.826051,11.171239,12.019984,12.019984,12.019984,0.003889,0.000000,0.000000,0.000355,calls/second,milliseconds
1608532458,28,18.345103,1.472690,0.002371,2.901182,0.258710,0.826051,11.171239,12.019984,12.019984,12.019984,0.003733,0.000000,0.000000,0.000254,calls/second,milliseconds
1608532758,28,18.345103,1.472690,0.002371,2.901182,0.258710,0.826051,11.171239,12.019984,12.019984,12.019984,0.003590,0.000000,0.000000,0.000182,calls/second,milliseconds
1608533058,28,18.345103,1.472690,0.002371,2.901182,0.258710,0.826051,11.171239,12.019984,12.019984,12.019984,0.003457,0.000000,0.000000,0.000130,calls/second,milliseconds
1608533358,28,18.345103,1.472690,0.002371,2.901182,0.258710,0.826051,11.171239,12.019984,12.019984,12.019984,0.003333,0.000000,0.000000,0.000093,calls/second,milliseconds
1608533658,28,18.345103,1.472690,0.002371,2.901182,0.258710,0.826051,11.171239,12.019984,12.019984,12.019984,0.003218,0.000000,0.000000,0.000067,calls/second,milliseconds
1608533958,28,18.345103,1.472690,0.002371,2.901182,0.258710,0.826051,11.171239,12.019984,12.019984,12.019984,0.003111,0.000000,0.000000,0.000048,calls/second,milliseconds
1608534258,28,18.345103,1.472690,0.002371,2.901182,0.258710,0.826051,11.171239,12.019984,12.019984,12.019984,0.003011,0.000000,0.000000,0.000034,calls/second,milliseconds
1608534558,28,18.345103,1.472690,0.002371,2.901182,0.258710,0.826051,11.171239,12.019984,12.019984,12.019984,0.002917,0.000000,0.000000,0.000025,calls/second,milliseconds
1608534858,28,18.345103,1.472690,0.002371,2.901182,0.258710,0.826051,11.171239,12.019984,12.019984,12.019984,0.002828,0.000000,0.000000,0.000018,calls/second,milliseconds
1608535158,28,18.345103,1.472690,0.002371,2.901182,0.258710,0.826051,11.171239,12.019984,12.019984,12.019984,0.002745,0.000000,0.000000,0.000013,calls/second,milliseconds
1608535458,28,18.345103,1.472690,0.002371,2.901182,0.258710,0.826051,11.171239,12.019984,12.019984,12.019984,0.002667,0.000000,0.000000,0.000009,calls/second,milliseconds
1608535758,28,18.345103,1.472690,0.002371,2.901182,0.258710,0.826051,11.171239,12.019984,12.019984,12.019984,0.002593,0.000000,0.000000,0.000006,calls/second,milliseconds
1608536058,28,18.345103,1.472690,0.002371,2.901182,0.258710,0.826051,11.171239,12.019984,12.019984,12.019984,0.002523,0.000000,0.000000,0.000005,calls/second,milliseconds
1608536358,28,18.345103,1.472690,0.002371,2.901182,0.258710,0.826051,11.171239,12.019984,12.019984,12.019984,0.002456,0.000000,0.000000,0.000003,calls/second,milliseconds
1608536658,28,18.345103,1.472690,0.002371,2.901182,0.258710,0.826051,11.171239,12.019984,12.019984,12.019984,0.002393,0.000000,0.000000,0.000002,calls/second,milliseconds
1608536958,28,18.345103,1.472690,0.002371,2.901182,0.258710,0.826051,11.171239,12.019984,12.019984,12.019984,0.002333,0.000000,0.000000,0.000002,calls/second,milliseconds
1608537258,28,18.345103,1.472690,0.002371,2.901182,0.258710,0.826051,11.171239,12.019984,12.019984,12.019984,0.002276,0.000000,0.000000,0.000001,calls/second,milliseconds
1608537558,28,18.345103,1.472690,0.002371,2.901182,0.258710,0.826051,11.171239,12.019984,12.019984,12.019984,0.002222,0.000000,0.000000,0.000001,calls/second,milliseconds
1608537858,28,18.345103,1.472690,0.002371,2.901182,0.258710,0.826051,11.171239,12.019984,12.019984,12.019984,0.002171,0.000000,0.000000,0.000001,calls/second,milliseconds
1608538158,28,18.345103,1.472690,0.002371,2.901182,0.258710,0.826051,11.171239,12.019984,12.019984,12.019984,0.002121,0.000000,0.000000,0.000000,calls/second,milliseconds
1608538458,28,18.345103,1.472690,0.002371,2.901182,0.258710,0.826051,11.171239,12.019984,12.019984,12.019984,0.002074,0.000000,0.000000,0.000000,calls/second,milliseconds
1608538758,28,18.345103,1.472690,0.002371,2.901182,0.258710,0.826051,11.171239,12.019984,12.019984,12.019984,0.002029,0.000000,0.000000,0.000000,calls/second,milliseconds
1608539058,28,18.345103,1.472690,0.002371,2.901182,0.258710,0.826051,11.171239,12.019984,12.019984,12.019984,0.001986,0.000000,0.000000,0.000000,calls/second,milliseconds
1608539358,28,18.345103,1.472690,0.002371,2.901182,0.258710,0.826051,11.171239,12.019984,12.019984,12.019984,0.001944,0.000000,0.000000,0.000000,calls/second,milliseconds
1608539658,28,18.345103,1.472690,0.002371,2.901182,0.258710,0.826051,11.171239,12.019984,12.019984,12.019984,0.001905,0.000000,0.000000,0.000000,calls/second,milliseconds
1608539958,28,18.345103,1.472690,0.002371,2.901182,0.258710,0.826051,11.171239,12.019984,12.019984,12.019984,0.001867,0.000000,0.000000,0.000000,calls/second,milliseconds
1608540258,28,18.345103,1.472690,0.002371,2.901182,0.258710,0.826051,11.171239,12.019984,12.019984,12.019984,0.001830,0.000000,0.000000,0.000000,calls/second,milliseconds
1608540558,28,18.345103,1.472690,0.002371,2.901182,0.258710,0.826051,11.171239,12.019984,12.019984,12.019984,0.001795,0.000000,0.000000,0.000000,calls/second,milliseconds
1608540858,28,18.345103,1.472690,0.002371,2.901182,0.258710,0.826051,11.171239,12.019984,12.019984,12.019984,0.001761,0.000000,0.000000,0.000000,calls/second,milliseconds
1608541158,28,18.345103,1.472690,0.002371,2.901182,0.258710,0.826051,11.171239,12.019984,12.019984,12.019984,0.001728,0.000000,0.000000,0.000000,calls/second,milliseconds
1608541458,28,18.345103,1.472690,0.002371,2.901182,0.258710,0.826051,11.171239,12.019984,12.019984,12.019984,0.001697,0.000000,0.000000,0.000000,calls/second,milliseconds
1608541758,28,18.345103,1.472690,0.002371,2.901182,0.258710,0.826051,11.171239,12.019984,12.019984,12.019984,0.001667,0.000000,0.000000,0.000000,calls/second,milliseconds
1608542058,28,18.345103,1.472690,0.002371,2.901182,0.258710,0.826051,11.171239,12.019984,12.019984,12.019984,0.001637,0.000000,0.000000,0.000000,calls/second,milliseconds
1608542358,28,18.345103,1.472690,0.002371,2.901182,0.258710,0.826051,11.171239,12.019984,12.019984,12.019984,0.001609,0.000000,0.000000,0.000000,calls/second,milliseconds
1608542658,28,18.345103,1.472690,0.002371,2.901182,0.258710,0.826051,11.171239,12.019984,12.019984,12.019984,0.001582,0.000000,0.000000,0.000000,calls/second,milliseconds
1608542958,28,18.345103,1.472690,0.002371,2.901182,0.258710,0.826051,11.171239,12.019984,12.019984,12.019984,0.001556,0.000000,0.000000,0.000000,calls/second,milliseconds
1608543258,28,18.345103,1.472690,0.002371,2.901182,0.258710,0.826051,11.171239,12.019984,12.019984,12.019984,0.001530,0.000000,0.000000,0.000000,calls/second,milliseconds
1608543558,28,18.345103,1.472690,0.002371,2.901182,0.258710,0.826051,11.171239,12.019984,12.019984,12.019984,0.001505,0.000000,0.000000,0.000000,calls/second,milliseconds
1608543858,28,18.345103,1.472690,0.002371,2.901182,0.258710,0.826051,11.171239,12.019984,12.019984,12.019984,0.001481,0.000000,0.000000,0.000000,calls/second,milliseconds
1608544158,28,18.345103,1.472690,0.002371,2.901182,0.258710,0.826051,11.171239,12.019984,12.019984,12.019984,0.001458,0.000000,0.000000,0.000000,calls/second,milliseconds
1608544458,28,18.345103,1.472690,0.002371,2.901182,0.258710,0.826051,11.171239,12.019984,12.019984,12.019984,0.001436,0.000000,0.000000,0.000000,calls/second,milliseconds
1608544758,28,18.345103,1.472690,0.002371,2.901182,0.258710,0.826051,11.171239,12.019984,12.019984,12.019984,0.001414,0.000000,0.000000,0.000000,calls/second,milliseconds
1608545058,28,18.345103,1.472690,0.002371,2.901182,0.258710,0.826051,11.171239,12.019984,12.019984,12.019984,0.001393,0.000000,0.000000,0.000000,calls/second,milliseconds
1608545358,28,18.345103,1.472690,0.002371,2.901182,0.258710,0.826051,11.171239,12.019984,12.019984,12.019984,0.001373,0.000000,0.000000,0.000000,calls/second,milliseconds
1608545658,28,18.345103,1.472690,0.002371,2.901182,0.258710,0.826051,11.171239,12.019984,12.019984,12.019984,0.001353,0.000000,0.000000,0.000000,calls/second,milliseconds
1608545958,28,18.345103,1.472690,0.002371,2.901182,0.258710,0.826051,11.171239,12.019984,12.019984,12.019984,0.001333,0.000000,0.000000,0.000000,calls/second,milliseconds
1608546258,28,18.345103,1.472690,0.002371,2.901182,0.258710,0.826051,11.171239,12.019984,12.019984,12.019984,0.001315,0.000000,0.000000,0.000000,calls/second,milliseconds
1608546558,28,18.345103,1.472690,0.002371,2.901182,0.258710,0.826051,11.171239,12.019984,12.019984,12.019984,0.001296,0.000000,0.000000,0.000000,calls/second,milliseconds
1608546858,28,18.345103,1.472690,0.002371,2.901182,0.258710,0.826051,11.171239,12.019984,12.019984,12.019984,0.001279,0.000000,0.000000,0.000000,calls/second,milliseconds
1608547158,28,18.345103,1.472690,0.002371,2.901182,0.258710,0.826051,11.171239,12.019984,12.019984,12.019984,0.001261,0.000000,0.000000,0.000000,calls/second,milliseconds
1608547458,28,18.345103,1.472690,0.002371,2.901182,0.258710,0.826051,11.171239,12.019984,12.019984,12.019984,0.001244,0.000000,0.000000,0.000000,calls/second,milliseconds
1608547758,28,18.345103,1.472690,0.002371,2.901182,0.258710,0.826051,11.171239,12.019984,12.019984,12.019984,0.001228,0.000000,0.000000,0.000000,calls/second,milliseconds
1608548058,28,18.345103,1.472690,0.002371,2.901182,0.258710,0.826051,11.171239,12.019984,12.019984,12.019984,0.001212,0.000000,0.000000,0.000000,calls/second,milliseconds
1608548358,28,18.345103,1.472690,0.002371,2.901182,0.258710,0.826051,11.171239,12.019984,12.019984,12.019984,0.001197,0.000000,0.000000,0.000000,calls/second,milliseconds
1608548658,28,18.345103,1.472690,0.002371,2.901182,0.258710,0.826051,11.171239,12.019984,12.019984,12.019984,0.001181,0.000000,0.000000,0.000000,calls/second,milliseconds
1608548958,28,18.345103,1.472690,0.002371,2.901182,0.258710,0.826051,11.171239,12.019984,12.019984,12.019984,0.001167,0.000000,0.000000,0.000000,calls/second,milliseconds
