t,value
1608525258,235451449344
1608525558,235451449344
1608525858,235451449344
1608526158,235451449344
1608526458,235451449344
1608526758,235451449344
1608527058,61505273856
1608527358,61505273856
1608527658,61505273856
1608527958,61505273856
1608528258,61505273856
1608528558,61505273856
1608528858,88919244800
1608529158,88919244800
1608529458,88919244800
1608529758,88919244800
1608530058,88919244800
1608530358,88919244800
1608530658,61605937152
1608530958,61605937152
1608531258,61605937152
1608531558,61605937152
1608531858,61605937152
1608532158,61605937152
1608532458,72880226304
1608532758,72880226304
1608533058,72880226304
1608533358,72880226304
1608533658,72880226304
1608533958,72880226304
1608534258,61371056128
1608534558,61371056128
1608534858,61371056128
1608535158,61371056128
1608535458,61371056128
1608535758,61371056128
1608536058,61371056128
1608536358,71135395840
1608536658,71135395840
1608536958,71135395840
1608537258,71135395840
1608537558,71135395840
1608537858,61270392832
1608538158,61270392832
1608538458,61270392832
1608538758,61270392832
1608539058,61270392832
1608539358,61270392832
1608539658,61035511808
1608539958,61035511808
1608540258,61035511808
1608540558,61035511808
1608540858,61035511808
1608541158,61035511808
1608541458,61035511808
1608541758,61035511808
1608542058,61035511808
1608542358,61035511808
1608542658,61035511808
1608542958,61035511808
1608543258,61035511808
1608543558,61035511808
1608543858,70833405952
1608544158,70833405952
1608544458,70833405952
1608544758,70833405952
1608545058,61270392832
1608545358,61270392832
1608545658,61270392832
1608545958,61270392832
1608546258,61270392832
1608546558,61270392832
1608546858,71034732544
1608547158,71034732544
1608547458,71034732544
1608547758,71034732544
1608548058,71034732544
1608548358,71034732544
1608548658,71034732544
1608548958,71034732544
1608549258,71034732544
1608549558,71034732544
1608549858,71034732544
1608550158,71034732544
1608550458,61505273856
1608550758,61505273856
1608551058,61505273856
1608551358,61505273856
1608551658,61505273856
1608551958,61505273856
1608552258,61035511808
1608552558,61035511808
1608552858,61035511808
1608553158,70833405952
1608553458,70833405952
1608553758,70833405952
1608554058,57747177472
1608554358,55163486208
1608554658,53183774720
1608554958,48284827648
1608555258,40164655104
1608555558,24461180928
1608555858,24226299904
1608556158,44929384448
1608556458,42748346368
1608556758,41372614656
1608557058,40634417152
1608557358,40131100672
1608557658,39325794304
1608557958,36406558720
1608558258,34863054848
1608558558,30198988800
1608558858,26306674688
1608559158,24863834112
1608559458,25534922752
1608559758,24897388544
1608560058,24360517632
1608560358,24293408768
1608560658,24192745472
1608560958,24159191040
1608561258,24024973312
1608561558,23991418880
1608561858,23957864448
1608562158,23924310016
1608562458,23857201152
1608562758,23823646720
1608563058,23857201152
1608563358,23857201152
1608563658,23857201152
1608563958,23823646720
1608564258,23823646720
1608564558,23823646720
1608564858,23857201152
1608565158,23857201152
1608565458,23823646720
1608565758,23857201152
1608566058,23857201152
1608566358,23823646720
1608566658,23756537856
1608566958,23756537856
1608567258,23756537856
1608567558,23790092288
1608567858,23756537856
1608568158,23790092288
1608568458,23857201152
1608568758,23857201152
1608569058,23823646720
1608569358,23823646720
1608569658,23823646720
1608569958,23823646720
1608570258,23790092288
1608570558,23756537856
1608570858,23756537856
1608571158,23790092288
1608571458,23756537856
1608571758,23756537856
1608572058,23790092288
1608572358,23790092288
1608572658,23790092288
1608572958,23790092288
1608573258,23790092288
1608573558,23790092288
1608573858,23790092288
1608574158,23790092288
1608574458,23790092288
1608574758,23790092288
1608575058,23790092288
1608575358,23790092288
1608575658,23857201152
1608575958,23857201152
1608576258,23857201152
1608576558,23857201152
1608576858,23924310016
1608577158,23924310016
1608577458,23857201152
1608577758,23857201152
1608578058,23857201152
1608578358,23823646720
1608578658,23823646720
1608578958,23823646720
1608579258,23790092288
1608579558,23790092288
1608579858,23790092288
1608580158,23790092288
1608580458,23790092288
1608580758,23790092288
1608581058,23790092288
1608581358,23790092288
1608581658,23790092288
1608581958,23790092288
1608582258,23790092288
1608582558,23790092288
1608582858,23823646720
1608583158,23857201152
1608583458,23857201152
1608583758,23823646720
1608584058,23823646720
1608584358,23823646720
1608584658,23857201152
1608584958,23857201152
1608585258,23857201152
1608585558,23857201152
1608585858,23857201152
1608586158,23857201152
1608586458,60733521920
1608586758,23823646720
1608587058,23823646720
1608587358,23790092288
1608587658,23790092288
1608587958,23823646720
1608588258,23857201152
1608588558,23857201152
1608588858,23857201152
1608589158,23857201152
1608589458,23924310016
1608589758,23857201152
1608590058,23823646720
1608590358,23823646720
1608590658,23823646720
1608590958,23823646720
1608591258,23823646720
1608591558,23823646720
1608591858,23790092288
1608592158,23790092288
1608592458,23790092288
1608592758,23790092288
1608593058,23823646720
1608593358,23790092288
1608593658,23924310016
1608593958,23857201152
1608594258,23857201152
1608594558,23924310016
1608594858,23924310016
1608595158,23957864448
1608595458,23823646720
1608595758,23823646720
1608596058,23857201152
1608596358,23857201152
1608596658,23823646720
1608596958,23823646720
1608597258,23790092288
1608597558,23790092288
1608597858,23790092288
1608598158,23790092288
1608598458,23823646720
1608598758,23790092288
1608599058,23823646720
1608599358,23823646720
1608599658,23823646720
1608599958,23857201152
1608600258,23857201152
1608600558,23823646720
1608600858,23756537856
1608601158,23756537856
1608601458,23790092288
1608601758,23756537856
1608602058,23790092288
1608602358,23756537856
1608602598,23924310016
1608602598,23924310016
