t,value
1608673052,-1
1608673352,-1
1608673652,-1
1608673952,-1
1608674252,-1
1608674552,-1
1608674852,-1
1608675152,-1
1608675452,-1
1608675752,-1
1608676052,-1
1608676352,-1
1608676652,-1
1608676952,-1
1608677252,-1
1608677552,-1
1608677852,-1
1608678152,-1
1608678452,-1
1608678752,-1
1608679052,-1
1608679352,-1
1608679652,-1
1608679952,-1
1608680252,-1
1608680552,-1
1608680852,-1
1608681152,-1
1608681452,-1
1608681752,-1
1608682052,-1
1608682352,-1
1608682652,-1
1608682952,-1
1608683252,-1
1608683552,-1
1608683852,-1
1608684152,-1
1608684452,-1
1608684752,-1
1608685052,-1
1608685352,-1
1608685652,-1
1608685952,-1
1608686252,-1
1608686552,-1
1608686852,-1
1608687152,-1
1608687452,-1
1608687752,-1
1608688052,-1
1608688352,-1
1608688652,-1
1608688952,-1
1608689252,-1
1608689552,-1
1608689852,-1
1608690152,-1
1608690452,-1
1608690752,-1
1608691052,-1
1608691352,-1
1608691652,-1
1608691952,-1
1608692252,-1
1608692552,-1
1608692852,-1
1608693152,-1
1608693452,-1
1608693752,-1
1608694052,-1
1608694352,-1
1608694652,-1
1608694952,-1
1608695252,-1
1608695552,-1
1608695852,-1
1608696152,-1
1608696452,-1
1608696752,-1
1608697052,-1
1608697352,-1
1608697652,-1
1608697952,-1
1608698252,-1
1608698552,-1
1608698852,-1
1608699152,-1
1608699452,-1
1608699752,-1
1608700052,-1
1608700352,-1
1608700652,-1
1608700952,-1
1608701252,-1
1608701552,-1
1608701852,-1
1608702152,-1
1608702452,-1
1608702752,-1
1608703052,-1
1608703352,-1
1608703652,-1
1608703952,-1
1608704252,-1
1608704552,-1
1608704852,-1
1608705152,-1
1608705452,-1
1608705752,-1
1608706052,-1
1608706352,-1
1608706652,-1
1608706952,-1
1608707252,-1
1608707552,-1
1608707852,-1
1608708152,-1
1608708452,-1
1608708752,-1
1608709052,-1
1608709352,-1
1608709652,-1
1608709952,-1
1608710252,-1
1608710552,-1
1608710852,-1
1608711152,-1
1608711452,-1
1608711752,-1
1608712052,-1
1608712352,-1
1608712652,-1
1608712952,-1
1608713252,-1
1608713552,-1
1608713852,-1
1608714152,-1
1608714452,-1
1608714752,-1
1608715052,-1
1608715352,-1
1608715652,-1
1608715952,-1
1608716252,-1
1608716552,-1
1608716852,-1
1608717152,-1
1608717452,-1
1608717752,-1
1608718052,-1
1608718352,-1
1608718652,-1
1608718952,-1
1608719252,-1
1608719552,-1
1608719852,-1
1608720152,-1
1608720452,-1
1608720752,-1
1608721052,-1
1608721352,-1
1608721652,-1
1608721952,-1
1608722252,-1
1608722552,-1
1608722852,-1
1608723152,-1
1608723452,-1
1608723752,-1
1608724052,-1
1608724352,-1
1608724652,-1
1608724952,-1
1608725252,-1
1608725552,-1
1608725852,-1
1608726152,-1
1608726452,-1
1608726752,-1
1608727052,-1
1608727352,-1
1608727652,-1
1608727952,-1
1608728252,-1
1608728552,-1
1608728852,-1
1608729152,-1
1608729452,-1
1608729752,-1
1608730052,-1
1608730352,-1
1608730652,-1
1608730952,-1
1608731252,-1
1608731552,-1
1608731852,-1
1608732152,-1
1608732452,-1
1608732752,-1
1608733052,-1
1608733352,-1
1608733652,-1
1608733952,-1
1608734252,-1
1608734552,-1
1608734852,-1
1608735152,-1
1608735452,-1
1608735752,-1
1608736052,-1
1608736352,-1
1608736652,-1
1608736952,-1
1608737252,-1
1608737552,-1
1608737852,-1
1608737998,-1
1608737998,-1
