t,count
1608739181,0
1608739481,0
1608739781,0
1608740081,0
1608740381,0
1608740681,0
1608740981,0
1608741281,0
1608741581,0
1608741881,0
1608742181,0
1608742481,0
1608742781,0
1608743081,0
1608743381,0
1608743681,0
1608743981,0
1608744281,0
1608744581,0
1608744881,0
1608745181,0
1608745481,0
1608745781,0
1608746081,0
1608746381,0
1608746681,0
1608746981,0
1608747281,0
1608747581,0
1608747881,0
1608748181,0
1608748481,0
1608748781,0
1608749081,0
1608749381,0
1608749681,0
1608749981,0
1608750281,0
1608750581,0
1608750881,0
1608751181,0
1608751481,0
1608751781,0
1608752081,0
1608752381,0
1608752681,0
1608752981,0
1608753281,0
1608753581,0
1608753881,0
1608754181,0
1608754481,0
1608754781,0
1608755081,0
1608755381,0
1608755681,0
1608755981,0
1608756281,0
1608756581,0
1608756881,0
1608757181,0
1608757481,0
1608757781,0
1608758081,0
1608758381,0
1608758681,0
1608758981,0
1608759281,0
1608759581,0
1608759881,0
1608760181,0
1608760481,0
1608760781,0
1608761081,0
1608761381,0
1608761681,0
1608761981,0
1608762281,0
1608762581,0
1608762881,0
1608763181,0
1608763481,0
1608763781,0
1608764081,0
1608764381,0
1608764681,0
1608764981,0
1608765281,0
1608765581,0
1608765881,0
1608766181,0
1608766481,0
1608766781,0
1608767081,0
1608767381,0
1608767681,0
1608767981,0
1608768281,0
1608768581,0
1608768881,0
1608769181,0
1608769481,0
1608769781,0
1608770081,0
1608770381,0
1608770681,0
1608770981,0
1608771281,0
1608771581,0
1608771881,0
1608772181,0
1608772481,0
1608772781,0
1608773081,0
1608773381,0
1608773681,0
1608773981,0
1608774281,0
1608774581,0
1608774881,0
1608775181,0
1608775481,0
1608775781,0
1608776081,0
1608776381,0
1608776681,0
1608776981,0
1608777281,0
1608777581,0
1608777881,0
1608778181,0
1608778481,0
1608778781,0
1608779081,0
1608779381,0
1608779681,0
1608779981,0
1608780281,0
1608780581,0
1608780881,0
1608781181,0
1608781481,0
1608781781,0
1608782081,0
1608782381,0
1608782681,0
1608782981,0
1608783281,0
1608783581,0
1608783881,0
1608784181,0
1608784481,0
1608784781,0
1608785081,0
1608785381,0
1608785681,0
1608785981,0
1608786281,0
1608786581,0
1608786881,0
1608787181,0
1608787481,0
1608787781,0
1608788081,0
1608788381,0
1608788681,0
1608788981,0
1608789281,0
1608789581,0
1608789881,0
1608790181,0
1608790481,0
1608790781,0
1608791081,0
1608791381,0
1608791681,0
1608791981,0
1608792281,0
1608792581,0
1608792881,0
1608793181,0
1608793481,0
1608793781,0
1608794081,0
1608794381,0
1608794681,0
1608794981,0
1608795281,0
1608795581,0
1608795881,0
1608796181,0
1608796481,0
1608796781,0
1608797081,0
1608797381,0
1608797681,0
1608797981,0
1608798281,0
1608798581,0
1608798881,0
1608799181,0
1608799481,0
1608799781,0
1608800081,0
1608800349,0
1608800349,0
