t,value
1608739181,322122547199
1608739481,322122547199
1608739781,322122547199
1608740081,322122547199
1608740381,322122547199
1608740681,322122547199
1608740981,322122547199
1608741281,322122547199
1608741581,322122547199
1608741881,322122547199
1608742181,322122547199
1608742481,322122547199
1608742781,322122547199
1608743081,322122547199
1608743381,322122547199
1608743681,322122547199
1608743981,322122547199
1608744281,322122547199
1608744581,322122547199
1608744881,322122547199
1608745181,322122547199
1608745481,322122547199
1608745781,322122547199
1608746081,322122547199
1608746381,322122547199
1608746681,322122547199
1608746981,322122547199
1608747281,322122547199
1608747581,322122547199
1608747881,322122547199
1608748181,322122547199
1608748481,322122547199
1608748781,322122547199
1608749081,322122547199
1608749381,322122547199
1608749681,322122547199
1608749981,322122547199
1608750281,322122547199
1608750581,322122547199
1608750881,322122547199
1608751181,322122547199
1608751481,322122547199
1608751781,322122547199
1608752081,322122547199
1608752381,322122547199
1608752681,322122547199
1608752981,322122547199
1608753281,322122547199
1608753581,322122547199
1608753881,322122547199
1608754181,322122547199
1608754481,322122547199
1608754781,322122547199
1608755081,322122547199
1608755381,322122547199
1608755681,322122547199
1608755981,322122547199
1608756281,322122547199
1608756581,322122547199
1608756881,322122547199
1608757181,322122547199
1608757481,322122547199
1608757781,322122547199
1608758081,322122547199
1608758381,322122547199
1608758681,322122547199
1608758981,322122547199
1608759281,322122547199
1608759581,322122547199
1608759881,322122547199
1608760181,322122547199
1608760481,322122547199
1608760781,322122547199
1608761081,322122547199
1608761381,322122547199
1608761681,322122547199
1608761981,322122547199
1608762281,322122547199
1608762581,322122547199
1608762881,322122547199
1608763181,322122547199
1608763481,322122547199
1608763781,322122547199
1608764081,322122547199
1608764381,322122547199
1608764681,322122547199
1608764981,322122547199
1608765281,322122547199
1608765581,322122547199
1608765881,322122547199
1608766181,322122547199
1608766481,322122547199
1608766781,322122547199
1608767081,322122547199
1608767381,322122547199
1608767681,322122547199
1608767981,322122547199
1608768281,322122547199
1608768581,322122547199
1608768881,322122547199
1608769181,322122547199
1608769481,322122547199
1608769781,322122547199
1608770081,322122547199
1608770381,322122547199
1608770681,322122547199
1608770981,322122547199
1608771281,322122547199
1608771581,322122547199
1608771881,322122547199
1608772181,322122547199
1608772481,322122547199
1608772781,322122547199
1608773081,322122547199
1608773381,322122547199
1608773681,322122547199
1608773981,322122547199
1608774281,322122547199
1608774581,322122547199
1608774881,322122547199
1608775181,322122547199
1608775481,322122547199
1608775781,322122547199
1608776081,322122547199
1608776381,322122547199
1608776681,322122547199
1608776981,322122547199
1608777281,322122547199
1608777581,322122547199
1608777881,322122547199
1608778181,322122547199
1608778481,322122547199
1608778781,322122547199
1608779081,322122547199
1608779381,322122547199
1608779681,322122547199
1608779981,322122547199
1608780281,322122547199
1608780581,322122547199
1608780881,322122547199
1608781181,322122547199
1608781481,322122547199
1608781781,322122547199
1608782081,322122547199
1608782381,322122547199
1608782681,322122547199
1608782981,322122547199
1608783281,322122547199
1608783581,322122547199
1608783881,322122547199
1608784181,322122547199
1608784481,322122547199
1608784781,322122547199
1608785081,322122547199
1608785381,322122547199
1608785681,322122547199
1608785981,322122547199
1608786281,322122547199
1608786581,322122547199
1608786881,322122547199
1608787181,322122547199
1608787481,322122547199
1608787781,322122547199
1608788081,322122547199
1608788381,322122547199
1608788681,322122547199
1608788981,322122547199
1608789281,322122547199
1608789581,322122547199
1608789881,322122547199
1608790181,322122547199
1608790481,322122547199
1608790781,322122547199
1608791081,322122547199
1608791381,322122547199
1608791681,322122547199
1608791981,322122547199
1608792281,322122547199
1608792581,322122547199
1608792881,322122547199
1608793181,322122547199
1608793481,322122547199
1608793781,322122547199
1608794081,322122547199
1608794381,322122547199
1608794681,322122547199
1608794981,322122547199
1608795281,322122547199
1608795581,322122547199
1608795881,322122547199
1608796181,322122547199
1608796481,322122547199
1608796781,322122547199
1608797081,322122547199
1608797381,322122547199
1608797681,322122547199
1608797981,322122547199
1608798281,322122547199
1608798581,322122547199
1608798881,322122547199
1608799181,322122547199
1608799481,322122547199
1608799781,322122547199
1608800081,322122547199
1608800349,322122547199
1608800349,322122547199
