t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1608801487,19,5.071639,0.098842,0.000683,0.569703,0.006596,0.006596,0.215905,1.480077,5.071639,5.071639,0.063335,0.036630,1.149835,2.177458,calls/second,milliseconds
1608801787,68,5.071639,0.193974,0.000677,0.215222,0.092498,0.339338,0.563838,0.744886,0.890277,0.890277,0.113302,0.114251,0.522602,1.598694,calls/second,milliseconds
1608802087,76,5.071639,0.081724,0.000677,0.160916,0.003431,0.048164,0.467685,0.467685,0.478699,0.744886,0.084445,0.017071,0.211392,1.159337,calls/second,milliseconds
1608802387,81,5.071639,0.006840,0.000677,0.022174,0.006480,0.006480,0.006480,0.010443,0.010443,0.467685,0.067501,0.013016,0.087855,0.835360,calls/second,milliseconds
1608802687,86,5.071639,0.004520,0.000677,0.002471,0.005095,0.005095,0.005095,0.005095,0.005095,0.006480,0.057334,0.012988,0.042409,0.603220,calls/second,milliseconds
1608802987,91,5.071639,0.009097,0.000677,0.002137,0.009340,0.009340,0.009340,0.009340,0.023280,0.023280,0.050556,0.012988,0.025690,0.436884,calls/second,milliseconds
1608803287,102,5.071639,0.006380,0.000482,0.002546,0.006268,0.008407,0.009733,0.009733,0.009733,0.009733,0.048572,0.013818,0.027210,0.322543,calls/second,milliseconds
1608803587,107,5.071639,0.004512,0.000482,0.001263,0.003854,0.004493,0.008010,0.008010,0.008010,0.009733,0.044583,0.012994,0.020099,0.235771,calls/second,milliseconds
1608803887,112,5.071639,0.004498,0.000482,0.000569,0.004306,0.004306,0.006096,0.006096,0.006096,0.008010,0.041482,0.012988,0.017483,0.173596,calls/second,milliseconds
1608804187,117,5.071639,0.004272,0.000482,0.000234,0.004141,0.004490,0.004490,0.005018,0.005018,0.006096,0.039000,0.012988,0.016520,0.129045,calls/second,milliseconds
1608804487,122,5.071639,0.004025,0.000482,0.000381,0.003894,0.004416,0.004416,0.005227,0.005227,0.005227,0.036970,0.012988,0.016166,0.097123,calls/second,milliseconds
1608804787,127,5.071639,0.005130,0.000482,0.000860,0.004568,0.005756,0.006580,0.006580,0.006580,0.006580,0.035278,0.012988,0.016036,0.074250,calls/second,milliseconds
1608805087,132,5.071639,0.007734,0.000482,0.002665,0.009860,0.009860,0.009860,0.009860,0.009860,0.009860,0.033846,0.012988,0.015988,0.057861,calls/second,milliseconds
1608805387,137,5.071639,0.004370,0.000482,0.000706,0.004737,0.004737,0.004737,0.005245,0.005245,0.009860,0.032619,0.012988,0.015970,0.046118,calls/second,milliseconds
