t,count
1608860968,0
1608861268,0
1608861568,0
1608861868,0
1608862168,0
1608862468,0
1608862768,0
1608863068,0
1608863368,0
1608863668,0
1608863968,0
1608864268,0
1608864568,0
1608864868,0
1608865168,0
1608865468,0
1608865768,0
1608866068,0
1608866368,0
1608866668,0
1608866968,0
1608867268,0
1608867568,0
1608867868,0
1608868168,0
1608868468,0
1608868768,0
1608869068,0
1608869368,0
1608869668,0
1608869968,0
1608870268,0
1608870568,0
1608870868,0
1608871168,0
1608871468,0
1608871768,0
1608872068,0
1608872368,0
1608872668,0
1608872968,0
1608873268,0
1608873568,0
1608873868,0
1608874168,0
1608874468,0
1608874768,0
1608875068,0
1608875368,0
1608875668,0
1608875968,0
1608876268,0
1608876568,0
1608876868,0
1608877168,0
1608877468,0
1608877768,0
1608878068,0
1608878368,0
1608878668,0
1608878968,0
1608879268,0
1608879568,0
1608879868,0
1608880168,0
1608880468,0
1608880768,0
1608881068,0
1608881368,0
1608881668,0
1608881968,0
1608882268,0
1608882568,0
1608882868,0
1608883168,0
1608883468,0
1608883768,0
1608884068,0
1608884368,0
1608884668,0
1608884968,0
1608885268,0
1608885568,0
1608885868,0
1608886168,0
1608886468,0
1608886768,0
1608887068,0
1608887368,0
1608887668,0
1608887968,0
1608888268,0
1608888568,0
1608888868,0
1608889168,0
1608889468,0
1608889768,0
1608890068,0
1608890368,0
1608890668,0
1608890968,0
1608891268,0
1608891568,0
1608891868,0
1608892168,0
1608892468,0
1608892768,0
1608893068,0
1608893368,0
1608893668,0
1608893968,0
1608894268,0
1608894568,0
1608894868,0
1608895168,0
1608895468,0
1608895768,0
1608896068,0
1608896368,0
1608896668,0
1608896968,0
1608897268,0
1608897568,0
1608897868,0
1608898168,0
1608898468,0
1608898768,0
1608899068,0
1608899368,0
1608899668,0
1608899968,0
1608900268,0
1608900568,0
1608900868,0
1608901168,0
1608901468,0
1608901768,0
1608902068,0
1608902368,0
1608902668,0
1608902968,0
1608903268,0
1608903568,0
1608903868,0
1608904168,0
1608904468,0
1608904768,0
1608905068,0
1608905368,0
1608905668,0
1608905968,0
1608906268,0
1608906568,0
1608906868,0
1608907168,0
1608907468,0
1608907768,0
1608908068,0
1608908368,0
1608908668,0
1608908968,0
1608909268,0
1608909568,0
1608909868,0
1608910168,0
1608910468,0
1608910768,0
1608911068,0
1608911368,0
1608911668,0
1608911968,0
1608912268,0
1608912568,0
1608912868,0
1608913168,0
1608913468,0
1608913768,0
1608914068,0
1608914368,0
1608914668,0
1608914968,0
1608915268,0
1608915424,0
1608915424,0
