t,value
1608860968,38731776
1608861268,38731776
1608861568,38731776
1608861868,38731776
1608862168,38731776
1608862468,38731776
1608862768,38731776
1608863068,38731776
1608863368,38731776
1608863668,38731776
1608863968,38731776
1608864268,38731776
1608864568,38731776
1608864868,38731776
1608865168,38731776
1608865468,38731776
1608865768,38731776
1608866068,38731776
1608866368,38731776
1608866668,38731776
1608866968,38731776
1608867268,38731776
1608867568,38731776
1608867868,38731776
1608868168,38731776
1608868468,38731776
1608868768,38731776
1608869068,38731776
1608869368,38731776
1608869668,38731776
1608869968,38731776
1608870268,38731776
1608870568,38731776
1608870868,38731776
1608871168,38731776
1608871468,38731776
1608871768,38731776
1608872068,38731776
1608872368,38731776
1608872668,38731776
1608872968,38731776
1608873268,38731776
1608873568,38731776
1608873868,38731776
1608874168,38731776
1608874468,38731776
1608874768,38731776
1608875068,38731776
1608875368,38731776
1608875668,38731776
1608875968,38731776
1608876268,38731776
1608876568,38731776
1608876868,38731776
1608877168,38731776
1608877468,38731776
1608877768,38731776
1608878068,38731776
1608878368,38731776
1608878668,38731776
1608878968,38731776
1608879268,38731776
1608879568,38731776
1608879868,38731776
1608880168,38731776
1608880468,38731776
1608880768,38731776
1608881068,38731776
1608881368,38731776
1608881668,38731776
1608881968,38731776
1608882268,38731776
1608882568,38731776
1608882868,38731776
1608883168,38731776
1608883468,38731776
1608883768,38731776
1608884068,38731776
1608884368,38731776
1608884668,38731776
1608884968,38731776
1608885268,38731776
1608885568,38731776
1608885868,38731776
1608886168,38731776
1608886468,38731776
1608886768,38731776
1608887068,38731776
1608887368,38731776
1608887668,38731776
1608887968,38731776
1608888268,38731776
1608888568,38731776
1608888868,38731776
1608889168,38731776
1608889468,38731776
1608889768,38731776
1608890068,38731776
1608890368,38731776
1608890668,38731776
1608890968,38731776
1608891268,38731776
1608891568,38731776
1608891868,38731776
1608892168,38731776
1608892468,38731776
1608892768,38731776
1608893068,38731776
1608893368,38731776
1608893668,38731776
1608893968,38731776
1608894268,38731776
1608894568,38731776
1608894868,38731776
1608895168,38731776
1608895468,38731776
1608895768,38731776
1608896068,38731776
1608896368,38731776
1608896668,38731776
1608896968,38731776
1608897268,38731776
1608897568,38731776
1608897868,38731776
1608898168,38731776
1608898468,38731776
1608898768,38731776
1608899068,38731776
1608899368,38731776
1608899668,38731776
1608899968,38731776
1608900268,38731776
1608900568,38731776
1608900868,38731776
1608901168,38731776
1608901468,38731776
1608901768,38731776
1608902068,38731776
1608902368,38731776
1608902668,38731776
1608902968,38731776
1608903268,38731776
1608903568,38731776
1608903868,38731776
1608904168,38731776
1608904468,38731776
1608904768,38731776
1608905068,38731776
1608905368,38731776
1608905668,38731776
1608905968,38731776
1608906268,38731776
1608906568,38731776
1608906868,38731776
1608907168,38731776
1608907468,38731776
1608907768,38731776
1608908068,38731776
1608908368,38731776
1608908668,38731776
1608908968,38731776
1608909268,38731776
1608909568,38731776
1608909868,38731776
1608910168,38731776
1608910468,38731776
1608910768,38731776
1608911068,38731776
1608911368,38731776
1608911668,38731776
1608911968,38731776
1608912268,38731776
1608912568,38731776
1608912868,38731776
1608913168,38731776
1608913468,38731776
1608913768,38731776
1608914068,38731776
1608914368,38731776
1608914668,38731776
1608914968,38731776
1608915268,38731776
1608915424,38731776
1608915424,38731776
