t,value
1608916471,192331
1608916771,182829
1608917071,182829
1608917371,182829
1608917671,182829
1608917971,182829
1608918271,182829
1608918571,182829
1608918871,182829
1608919171,182829
1608919471,182829
1608919771,182829
1608920071,182829
1608920371,182829
1608920671,182829
1608920971,182829
1608921271,182829
1608921571,182829
1608921871,182829
1608922171,182829
1608922471,182829
1608922771,182829
1608923071,182829
1608923371,182829
1608923671,182829
1608923971,182829
1608924271,182829
1608924571,182829
1608924871,182829
1608925171,182829
1608925471,182829
1608925771,182829
1608926071,182829
1608926371,182829
1608926671,182829
1608926971,182829
1608927271,182829
1608927571,182829
1608927871,182829
1608928171,182829
1608928471,182829
1608928771,182829
1608929071,182829
1608929371,182829
1608929671,182829
1608929971,182829
1608930271,182829
1608930571,182829
1608930871,182829
1608931171,182829
1608931471,182829
1608931771,182829
1608932071,182829
1608932371,182829
1608932671,182829
1608932971,182829
1608933271,182829
1608933571,182829
1608933871,182829
1608934171,182829
1608934471,182829
1608934771,182829
1608935071,182829
1608935371,182829
1608935671,182829
1608935971,182829
1608936271,182829
1608936571,182829
1608936871,182829
1608937171,182829
1608937471,182829
1608937771,182829
1608938071,182829
1608938371,182829
1608938671,182829
1608938971,182829
1608939271,182829
1608939571,182829
1608939871,182829
1608940171,182829
1608940471,182829
1608940771,182829
1608941071,182829
1608941371,182829
1608941671,182829
1608941971,182829
1608942271,182829
1608942571,182829
1608942871,182829
1608943171,182829
1608943471,182829
1608943771,182829
1608944071,182829
1608944371,182829
1608944671,182829
1608944971,182829
1608945271,182829
1608945571,182829
1608945871,182829
1608946171,182829
1608946471,182829
1608946771,182829
1608947071,182829
1608947371,182829
1608947671,182829
1608947971,182829
1608948271,182829
1608948571,182829
1608948871,182829
1608949171,182829
1608949471,182829
1608949771,182829
1608950071,182829
1608950371,182829
1608950671,182829
1608950971,182829
1608951271,182829
1608951571,182829
1608951871,182829
1608952171,182829
1608952471,182829
1608952771,182829
1608953071,182829
1608953371,182829
1608953671,182829
1608953971,182829
1608954271,182829
1608954571,182829
1608954871,182829
1608955171,182829
1608955471,182829
1608955771,182829
1608956071,182829
1608956371,182829
1608956671,182829
1608956971,182829
1608957271,182829
1608957571,182829
1608957871,182829
1608958171,182829
1608958471,182829
1608958771,182829
1608959071,182829
1608959371,182829
1608959671,182829
1608959971,182829
1608960271,182829
1608960571,182829
1608960871,182829
1608961171,182829
1608961471,182829
1608961771,182829
1608962071,182829
1608962371,182829
1608962671,182829
1608962971,182829
1608963271,182829
1608963571,182829
1608963871,182829
1608964171,182829
1608964471,182829
1608964771,182829
1608965071,182829
1608965371,182829
1608965671,182829
1608965971,182829
1608966271,182829
1608966571,182829
1608966871,182829
1608967171,182829
1608967471,182829
1608967771,182829
1608967813,182829
1608967813,182829
