t,value
1608916471,-1
1608916771,-1
1608917071,-1
1608917371,-1
1608917671,-1
1608917971,-1
1608918271,-1
1608918571,-1
1608918871,-1
1608919171,-1
1608919471,-1
1608919771,-1
1608920071,-1
1608920371,-1
1608920671,-1
1608920971,-1
1608921271,-1
1608921571,-1
1608921871,-1
1608922171,-1
1608922471,-1
1608922771,-1
1608923071,-1
1608923371,-1
1608923671,-1
1608923971,-1
1608924271,-1
1608924571,-1
1608924871,-1
1608925171,-1
1608925471,-1
1608925771,-1
1608926071,-1
1608926371,-1
1608926671,-1
1608926971,-1
1608927271,-1
1608927571,-1
1608927871,-1
1608928171,-1
1608928471,-1
1608928771,-1
1608929071,-1
1608929371,-1
1608929671,-1
1608929971,-1
1608930271,-1
1608930571,-1
1608930871,-1
1608931171,-1
1608931471,-1
1608931771,-1
1608932071,-1
1608932371,-1
1608932671,-1
1608932971,-1
1608933271,-1
1608933571,-1
1608933871,-1
1608934171,-1
1608934471,-1
1608934771,-1
1608935071,-1
1608935371,-1
1608935671,-1
1608935971,-1
1608936271,-1
1608936571,-1
1608936871,-1
1608937171,-1
1608937471,-1
1608937771,-1
1608938071,-1
1608938371,-1
1608938671,-1
1608938971,-1
1608939271,-1
1608939571,-1
1608939871,-1
1608940171,-1
1608940471,-1
1608940771,-1
1608941071,-1
1608941371,-1
1608941671,-1
1608941971,-1
1608942271,-1
1608942571,-1
1608942871,-1
1608943171,-1
1608943471,-1
1608943771,-1
1608944071,-1
1608944371,-1
1608944671,-1
1608944971,-1
1608945271,-1
1608945571,-1
1608945871,-1
1608946171,-1
1608946471,-1
1608946771,-1
1608947071,-1
1608947371,-1
1608947671,-1
1608947971,-1
1608948271,-1
1608948571,-1
1608948871,-1
1608949171,-1
1608949471,-1
1608949771,-1
1608950071,-1
1608950371,-1
1608950671,-1
1608950971,-1
1608951271,-1
1608951571,-1
1608951871,-1
1608952171,-1
1608952471,-1
1608952771,-1
1608953071,-1
1608953371,-1
1608953671,-1
1608953971,-1
1608954271,-1
1608954571,-1
1608954871,-1
1608955171,-1
1608955471,-1
1608955771,-1
1608956071,-1
1608956371,-1
1608956671,-1
1608956971,-1
1608957271,-1
1608957571,-1
1608957871,-1
1608958171,-1
1608958471,-1
1608958771,-1
1608959071,-1
1608959371,-1
1608959671,-1
1608959971,-1
1608960271,-1
1608960571,-1
1608960871,-1
1608961171,-1
1608961471,-1
1608961771,-1
1608962071,-1
1608962371,-1
1608962671,-1
1608962971,-1
1608963271,-1
1608963571,-1
1608963871,-1
1608964171,-1
1608964471,-1
1608964771,-1
1608965071,-1
1608965371,-1
1608965671,-1
1608965971,-1
1608966271,-1
1608966571,-1
1608966871,-1
1608967171,-1
1608967471,-1
1608967771,-1
1608967813,-1
1608967813,-1
