t,value
1608968797,1660155
1608969097,1667518
1608969397,1669524
1608969697,1671265
1608969997,1671470
1608970297,1671541
1608970597,1671553
1608970897,1671600
1608971197,1671643
1608971497,1671659
1608971797,1671691
1608972097,1671740
1608972397,1671769
1608972697,1671808
1608972997,1671846
1608973297,1671901
1608973597,1671942
1608973897,1671959
1608974197,1671996
1608974497,1672033
1608974797,1672068
1608975097,1672158
1608975397,1672197
1608975697,1672241
1608975997,1672289
1608976297,1672343
1608976597,1672370
1608976897,1672453
1608977197,1672502
1608977497,1672567
1608977797,1672606
1608978097,1672639
1608978397,1672707
1608978697,1672790
1608978997,1672840
1608979297,1672855
1608979597,1672903
1608979897,1672932
1608980197,1672965
1608980497,1673012
1608980797,1673036
1608981097,1673066
1608981397,1673149
1608981697,1673196
1608981997,1673247
1608982297,1673361
1608982597,1673400
1608982897,1673455
1608983197,1673481
1608983497,1673517
1608983797,1673530
1608984097,1673613
1608984397,1673652
1608984697,1673665
1608984997,1673707
1608985297,1673743
1608985597,1673770
1608985897,1673849
1608986197,1673882
1608986497,1673914
1608986797,1673939
1608987097,1673980
1608987397,1674011
1608987697,1674065
1608987997,1674101
1608988297,1674131
1608988597,1674180
1608988897,1674211
1608989197,1674250
1608989497,1674334
1608989797,1674349
1608990097,1674361
1608990397,1674408
1608990697,1674447
1608990997,1674487
1608991297,1674611
1608991597,1674643
1608991897,1674680
1608992197,1674710
1608992497,1674748
1608992797,1674771
1608993097,1674836
1608993397,1674891
1608993697,1674939
1608993997,1674999
1608994297,1675012
1608994597,1675066
1608994897,1675123
1608995197,1675183
1608995497,1675226
1608995797,1675264
1608996097,1675296
1608996397,1675347
1608996697,1675400
1608996997,1675449
1608997297,1675488
1608997597,1675547
1608997897,1675609
1608998197,1675639
1608998497,1675734
1608998797,1675766
1608999097,1675812
1608999397,1675868
1608999697,1675938
1608999997,1675978
1609000297,1676017
1609000597,1676056
1609000897,1676115
1609001197,1676162
1609001497,1676212
1609001797,1676257
1609002097,1676358
1609002397,1676392
1609002697,1676430
1609002997,1676445
1609003297,1676530
1609003597,1676576
1609003897,1676659
1609004197,1676719
1609004497,1676762
1609004797,1676772
1609005097,1676787
1609005397,1676810
1609005697,1676861
1609005997,1676887
1609006297,1676907
1609006597,1676917
1609006897,1676953
1609007197,1676992
1609007497,1677047
1609007797,1677073
1609008097,1677104
1609008397,1677153
1609008697,1677189
1609008997,1677234
1609009297,1677299
1609009597,1677347
1609009897,1677407
1609010197,1677447
1609010497,1677497
1609010797,1677517
1609011097,1677653
1609011397,1677701
1609011697,1677746
1609011997,1677774
1609012297,1677801
1609012597,1677833
1609012897,1677898
1609013197,1677920
1609013497,1677960
1609013797,1678006
1609014097,1678056
1609014397,1678112
1609014697,1678195
1609014997,1678207
1609015297,1678230
1609015597,1678281
1609015897,1678317
1609016197,1678356
1609016497,1678429
1609016797,1678477
1609017097,1678536
1609017103,1678536
1609017103,1678536
