t,value
1609018035,8193
1609018335,8193
1609018635,8193
1609018935,8193
1609019235,8193
1609019535,8193
1609019835,8193
1609020135,8193
1609020435,8193
1609020735,8193
1609021035,8193
1609021335,8193
1609021635,8193
1609021935,8193
1609022235,8193
1609022535,8193
1609022835,8193
1609023135,8193
1609023435,8193
1609023735,8193
1609024035,8193
1609024335,8193
1609024635,8193
1609024935,8193
1609025235,8193
1609025535,8193
1609025835,8193
1609026135,8193
1609026435,8193
1609026735,8193
1609027035,8193
1609027335,8193
1609027635,8193
1609027935,8193
1609028235,8193
1609028535,8193
1609028835,8193
1609029135,8193
1609029435,8193
1609029735,8193
1609030035,8193
1609030335,8193
1609030635,8193
1609030935,8193
1609031235,8193
1609031535,8193
1609031835,8193
1609032135,8193
1609032435,8193
1609032735,8193
1609033035,8193
1609033335,8193
1609033635,8193
1609033935,8193
1609034235,8193
1609034535,8193
1609034835,8193
1609035135,8193
1609035435,8193
1609035735,8193
1609036035,8193
1609036335,8193
1609036635,8193
1609036935,8193
1609037235,8193
1609037535,8193
1609037835,8193
1609038135,8193
1609038435,8193
1609038735,8193
1609039035,8193
1609039335,8193
1609039635,8193
1609039935,8193
1609040235,8193
1609040535,8193
1609040835,8193
1609041135,8193
1609041435,8193
1609041735,8193
1609042035,8193
1609042335,8193
1609042635,8193
1609042935,8193
1609043235,8193
1609043535,8193
1609043835,8193
1609044135,8193
1609044435,8193
1609044735,8193
1609045035,8193
1609045335,8193
1609045635,8193
1609045935,8193
1609046235,8193
1609046535,8193
1609046835,8193
1609047135,8193
1609047435,8193
1609047735,8193
1609048035,8193
1609048335,8193
1609048635,8193
1609048935,8193
1609049235,8193
1609049535,8193
1609049835,8193
1609050135,8193
1609050435,8193
1609050735,8193
1609051035,8193
1609051335,8193
1609051635,8193
1609051935,8193
1609052235,8193
1609052535,8193
1609052835,8193
1609053135,8193
1609053435,8193
1609053735,8193
1609054035,8193
1609054335,8193
1609054635,8193
1609054935,8193
1609055235,8193
1609055535,8193
1609055835,8193
1609056135,8193
1609056435,8193
1609056735,8193
1609057035,8193
1609057335,8193
1609057635,8193
1609057935,8193
1609058235,8193
1609058535,8193
1609058835,8193
1609059135,8193
1609059435,8193
1609059735,8193
1609060035,8193
1609060335,8193
1609060635,8193
1609060935,8193
1609061235,8193
1609061535,8193
1609061835,8193
1609062135,8193
1609062435,8193
1609062735,8193
1609062752,8193
1609062752,8193
