t,value
1609018035,237146112
1609018335,237146112
1609018635,237146112
1609018935,237146112
1609019235,237146112
1609019535,237146112
1609019835,237146112
1609020135,237146112
1609020435,237146112
1609020735,237146112
1609021035,237146112
1609021335,237146112
1609021635,237146112
1609021935,237146112
1609022235,237146112
1609022535,237146112
1609022835,237146112
1609023135,237146112
1609023435,237146112
1609023735,237146112
1609024035,237146112
1609024335,237146112
1609024635,237146112
1609024935,237146112
1609025235,237146112
1609025535,237146112
1609025835,237146112
1609026135,237146112
1609026435,237146112
1609026735,237146112
1609027035,237146112
1609027335,237146112
1609027635,237146112
1609027935,237146112
1609028235,237146112
1609028535,237146112
1609028835,237146112
1609029135,237146112
1609029435,237146112
1609029735,237146112
1609030035,237146112
1609030335,237146112
1609030635,237146112
1609030935,237146112
1609031235,237146112
1609031535,237146112
1609031835,237146112
1609032135,237146112
1609032435,237146112
1609032735,237146112
1609033035,237146112
1609033335,237146112
1609033635,237146112
1609033935,237146112
1609034235,237146112
1609034535,237146112
1609034835,237146112
1609035135,237146112
1609035435,237146112
1609035735,237146112
1609036035,237146112
1609036335,237146112
1609036635,237146112
1609036935,237146112
1609037235,237146112
1609037535,237146112
1609037835,237146112
1609038135,237146112
1609038435,237146112
1609038735,237146112
1609039035,237146112
1609039335,237146112
1609039635,237146112
1609039935,237146112
1609040235,237146112
1609040535,237146112
1609040835,237146112
1609041135,237146112
1609041435,237146112
1609041735,237146112
1609042035,237146112
1609042335,237146112
1609042635,237146112
1609042935,237146112
1609043235,237146112
1609043535,237146112
1609043835,237146112
1609044135,237146112
1609044435,237146112
1609044735,237146112
1609045035,237146112
1609045335,237146112
1609045635,237146112
1609045935,237146112
1609046235,237146112
1609046535,237146112
1609046835,237146112
1609047135,237146112
1609047435,237146112
1609047735,237146112
1609048035,237146112
1609048335,237146112
1609048635,237146112
1609048935,237146112
1609049235,237146112
1609049535,237146112
1609049835,237146112
1609050135,237146112
1609050435,237146112
1609050735,237146112
1609051035,237146112
1609051335,237146112
1609051635,237146112
1609051935,237146112
1609052235,237146112
1609052535,237146112
1609052835,237146112
1609053135,237146112
1609053435,237146112
1609053735,237146112
1609054035,237146112
1609054335,237146112
1609054635,237146112
1609054935,237146112
1609055235,237146112
1609055535,237146112
1609055835,237146112
1609056135,237146112
1609056435,237146112
1609056735,237146112
1609057035,237146112
1609057335,237146112
1609057635,237146112
1609057935,237146112
1609058235,237146112
1609058535,237146112
1609058835,237146112
1609059135,237146112
1609059435,237146112
1609059735,237146112
1609060035,237146112
1609060335,237146112
1609060635,237146112
1609060935,237146112
1609061235,237146112
1609061535,237146112
1609061835,237146112
1609062135,237146112
1609062435,237146112
1609062735,237146112
1609062752,237146112
1609062752,237146112
