t,value
1609063633,112004694016
1609063933,129587216384
1609064233,129587216384
1609064533,129587216384
1609064833,129587216384
1609065133,129587216384
1609065433,52680458240
1609065733,52680458240
1609066033,52680458240
1609066333,52680458240
1609066633,52680458240
1609066933,52680458240
1609067233,52579794944
1609067533,52579794944
1609067833,52579794944
1609068133,52579794944
1609068433,52579794944
1609068733,52579794944
1609069033,52244250624
1609069333,52244250624
1609069633,52244250624
1609069933,52244250624
1609070233,52244250624
1609070533,52244250624
1609070833,52143587328
1609071133,52143587328
1609071433,52143587328
1609071733,52143587328
1609072033,52143587328
1609072333,52143587328
1609072633,52143587328
1609072933,52143587328
1609073233,52143587328
1609073533,52143587328
1609073833,52143587328
1609074133,52143587328
1609074433,51908706304
1609074733,51908706304
1609075033,51908706304
1609075333,51908706304
1609075633,51908706304
1609075933,51908706304
1609076233,51908706304
1609076533,51908706304
1609076833,51908706304
1609077133,51908706304
1609077433,51908706304
1609077733,51908706304
1609078033,51908706304
1609078333,51908706304
1609078633,51908706304
1609078933,51908706304
1609079233,51908706304
1609079533,51908706304
1609079833,51908706304
1609080133,51908706304
1609080433,51908706304
1609080733,51908706304
1609081033,51908706304
1609081333,51908706304
1609081633,51908706304
1609081933,51908706304
1609082233,51908706304
1609082533,51908706304
1609082833,51908706304
1609083133,51908706304
1609083433,51908706304
1609083733,51908706304
1609084033,51908706304
1609084333,51908706304
1609084633,51908706304
1609084933,51908706304
1609085233,51908706304
1609085533,51908706304
1609085833,51908706304
1609086133,51908706304
1609086433,51908706304
1609086733,51908706304
1609087033,51908706304
1609087333,51908706304
1609087633,51908706304
1609087933,51908706304
1609088233,51908706304
1609088533,51908706304
1609088833,51908706304
1609089133,51908706304
1609089433,51908706304
1609089733,51908706304
1609090033,51908706304
1609090333,51908706304
1609090633,51908706304
1609090933,51908706304
1609091233,51908706304
1609091533,51908706304
1609091833,51908706304
1609092133,51908706304
1609092433,51908706304
1609092733,51908706304
1609093033,51908706304
1609093333,51908706304
1609093633,51908706304
1609093933,51908706304
1609094233,51908706304
1609094533,51908706304
1609094833,51908706304
1609095133,51908706304
1609095433,51908706304
1609095733,51908706304
1609096033,51908706304
1609096333,51908706304
1609096633,51908706304
1609096933,51908706304
1609097233,51908706304
1609097533,51908706304
1609097833,51908706304
1609098133,51908706304
1609098433,51908706304
1609098733,51908706304
1609099033,51908706304
1609099333,51908706304
1609099633,51908706304
1609099933,51908706304
1609100233,51908706304
1609100533,51908706304
1609100833,51908706304
1609101133,51908706304
1609101433,51908706304
1609101733,51908706304
1609102033,51908706304
1609102333,51908706304
1609102633,51908706304
1609102933,51908706304
1609103233,51908706304
1609103533,51908706304
1609103833,51908706304
1609104133,51908706304
1609104433,51908706304
1609104733,51908706304
1609104903,51908706304
1609104903,51908706304
