t,value
1609105731,1
1609106031,1
1609106331,1
1609106631,1
1609106931,1
1609107231,1
1609107531,1
1609107831,1
1609108131,1
1609108431,1
1609108731,1
1609109031,1
1609109331,1
1609109631,1
1609109931,1
1609110231,1
1609110531,1
1609110831,1
1609111131,1
1609111431,1
1609111731,1
1609112031,1
1609112331,1
1609112631,1
1609112931,1
1609113231,1
1609113531,1
1609113831,1
1609114131,1
1609114431,1
1609114731,1
1609115031,1
1609115331,1
1609115631,1
1609115931,1
1609116231,1
1609116531,1
1609116831,1
1609117131,1
1609117431,1
1609117731,1
1609118031,1
1609118331,1
1609118631,1
1609118931,1
1609119231,1
1609119531,1
1609119831,1
1609120131,1
1609120431,1
1609120731,1
1609121031,1
1609121331,1
1609121631,1
1609121931,1
1609122231,1
1609122531,1
1609122831,1
1609123131,1
1609123431,1
1609123731,1
1609124031,1
1609124331,1
1609124631,1
1609124931,1
1609125231,1
1609125531,1
1609125831,1
1609126131,1
1609126431,1
1609126731,1
1609127031,1
1609127331,1
1609127631,1
1609127931,1
1609128231,1
1609128531,1
1609128831,1
1609129131,1
1609129431,1
1609129731,1
1609130031,1
1609130331,1
1609130631,1
1609130931,1
1609131231,1
1609131531,1
1609131831,1
1609132131,1
1609132431,1
1609132731,1
1609133031,1
1609133331,1
1609133631,1
1609133931,1
1609134231,1
1609134531,1
1609134831,1
1609135131,1
1609135431,1
1609135731,1
1609136031,1
1609136331,1
1609136631,1
1609136931,1
1609137231,1
1609137531,1
1609137831,1
1609138131,1
1609138431,1
1609138731,1
1609139031,1
1609139156,1
1609139156,1
