t,value
1609105731,2449473536
1609106031,6174015488
1609106331,4127195136
1609106631,8657043456
1609106931,10603200512
1609107231,24394072064
1609107531,20333985792
1609107831,8287944704
1609108131,26138902528
1609108431,13623099392
1609108731,1073741824
1609109031,18253611008
1609109331,16710107136
1609109631,4026531840
1609109931,21642608640
1609110231,8891924480
1609110531,26407337984
1609110831,13488881664
1609111131,16676552704
1609111431,4261412864
1609111731,21877489664
1609112031,8757706752
1609112331,22145925120
1609112631,5301600256
1609112931,12918456320
1609113231,26742882304
1609113531,10368319488
1609113831,23957864448
1609114131,7449083904
1609114431,21206401024
1609114731,12750684160
1609115031,26608664576
1609115331,10166992896
1609115631,23857201152
1609115931,7348420608
1609116231,21239955456
1609116531,13321109504
1609116831,27279753216
1609117131,11240734720
1609117431,24662507520
1609117731,8589934592
1609118031,22548578304
1609118331,13153337344
1609118631,26910654464
1609118931,10636754944
1609119231,24595398656
1609119531,8690597888
1609119831,22917677056
1609120131,13388218368
1609120431,26944208896
1609120731,11106516992
1609121031,25165824000
1609121331,9193914368
1609121631,23085449216
1609121931,13354663936
1609122231,27246198784
1609122531,11341398016
1609122831,25266487296
1609123131,9428795392
1609123431,23521656832
1609123731,13421772800
1609124031,27413970944
1609124331,11542724608
1609124631,25467813888
1609124931,9630121984
1609125231,23722983424
1609125531,13354663936
1609125831,27413970944
1609126131,11576279040
1609126431,25669140480
1609126731,9663676416
1609127031,23722983424
1609127331,13254000640
1609127631,27078426624
1609127931,11274289152
1609128231,25501368320
1609128531,9865003008
1609128831,24058527744
1609129131,13220446208
1609129431,27279753216
1609129731,11442061312
1609130031,25300041728
1609130331,9294577664
1609130631,23119003648
1609130931,13287555072
1609131231,27111981056
1609131531,11207180288
1609131831,25467813888
1609132131,9831448576
1609132431,23790092288
1609132731,13321109504
1609133031,27212644352
1609133331,11274289152
1609133631,25300041728
1609133931,9328132096
1609134231,23186112512
1609134531,13455327232
1609134831,27514634240
1609135131,11710496768
1609135431,26105348096
1609135731,10401873920
1609136031,24494735360
1609136331,13656653824
1609136631,27850178560
1609136931,12146704384
1609137231,26340229120
1609137531,10636754944
1609137831,24830279680
1609138131,13623099392
1609138431,27950841856
1609138731,12415139840
1609139031,26440892416
1609139156,15065939968
1609139156,15233712128
