t,value
1609240541,134217728
1609240841,134217728
1609241141,134217728
1609241441,134217728
1609241741,134217728
1609242041,134217728
1609242341,134217728
1609242641,134217728
1609242941,134217728
1609243241,134217728
1609243541,134217728
1609243841,134217728
1609244141,134217728
1609244441,134217728
1609244741,134217728
1609245041,134217728
1609245341,134217728
1609245641,134217728
1609245941,134217728
1609246241,134217728
1609246541,134217728
1609246841,134217728
1609247141,134217728
1609247441,134217728
1609247741,134217728
1609248041,134217728
1609248341,134217728
1609248641,134217728
1609248941,134217728
1609249241,134217728
1609249541,134217728
1609249841,134217728
1609250141,134217728
1609250441,134217728
1609250741,134217728
1609251041,134217728
1609251341,134217728
1609251641,134217728
1609251941,134217728
1609252241,134217728
1609252541,134217728
1609252841,134217728
1609253141,134217728
1609253441,134217728
1609253741,134217728
1609254041,134217728
1609254341,134217728
1609254641,134217728
1609254941,134217728
1609255241,134217728
1609255541,134217728
1609255578,134217728
1609255578,134217728
