t,value
1609439583,1308622848
1609439883,1912602624
1609440183,1845493760
1609440483,1946157056
1609440783,1946157056
1609441083,1946157056
1609441383,402653184
1609441683,402653184
1609441983,369098752
1609442283,402653184
1609442583,469762048
1609442883,469762048
1609443183,402653184
1609443483,469762048
1609443783,100663296
1609444083,469762048
1609444383,402653184
1609444683,469762048
1609444983,100663296
1609445283,469762048
1609445583,469762048
1609445883,436207616
1609446183,469762048
1609446483,469762048
1609446783,402653184
1609447083,402653184
1609447383,402653184
1609447683,402653184
1609447983,402653184
1609448283,402653184
1609448583,402653184
1609448883,402653184
1609449183,402653184
1609449483,402653184
1609449783,402653184
1609450083,402653184
1609450383,402653184
1609450683,402653184
1609450983,402653184
1609451283,402653184
1609451583,402653184
1609451883,402653184
1609452183,402653184
1609452483,402653184
1609452783,402653184
1609453083,469762048
1609453383,469762048
1609453683,402653184
1609453983,402653184
1609454283,402653184
1609454583,402653184
1609454883,402653184
1609455183,402653184
1609455483,402653184
1609455783,402653184
1609456083,402653184
1609456383,402653184
1609456683,402653184
1609456983,402653184
1609457283,167772160
1609457583,402653184
1609457883,402653184
1609458183,402653184
1609458483,402653184
1609458783,469762048
1609459083,469762048
1609459383,402653184
1609459683,402653184
1609459983,402653184
1609460283,402653184
1609460583,402653184
1609460883,402653184
1609461183,402653184
1609461483,33554432
1609461783,33554432
1609462083,67108864
1609462383,33554432
1609462683,33554432
1609462983,67108864
1609463283,67108864
1609463583,33554432
1609463883,67108864
1609464183,67108864
1609464483,33554432
1609464783,100663296
1609465083,100663296
1609465383,100663296
1609465683,100663296
1609465983,67108864
1609466283,100663296
1609466583,33554432
1609466883,33554432
1609467183,67108864
1609467483,33554432
1609467783,67108864
1609468083,33554432
1609468383,67108864
1609468683,33554432
1609468983,67108864
1609469283,67108864
1609469583,67108864
1609469883,67108864
1609470183,33554432
1609470483,67108864
1609470783,67108864
1609471083,67108864
1609471383,33554432
1609471683,33554432
1609471983,33554432
1609472283,67108864
1609472583,33554432
1609472883,33554432
1609473183,67108864
1609473483,33554432
1609473783,67108864
1609474083,33554432
1609474383,33554432
1609474683,33554432
1609474983,33554432
1609475283,67108864
1609475583,67108864
1609475883,33554432
1609476183,33554432
1609476483,33554432
1609476783,33554432
1609477083,67108864
1609477383,33554432
1609477683,33554432
1609477983,67108864
1609478283,33554432
1609478583,33554432
1609478883,67108864
1609479183,33554432
1609479483,67108864
1609479783,67108864
1609480083,67108864
1609480383,67108864
1609480683,67108864
1609480983,67108864
1609481283,33554432
1609481583,67108864
1609481883,33554432
1609482183,33554432
1609482483,33554432
1609482783,67108864
1609483083,100663296
1609483383,100663296
1609483683,100663296
1609483983,100663296
1609484283,100663296
1609484583,67108864
1609484883,33554432
1609485183,67108864
1609485483,33554432
1609485783,67108864
1609486083,67108864
1609486383,33554432
1609486683,67108864
1609486983,33554432
1609487283,67108864
1609487583,33554432
1609487883,33554432
1609488183,67108864
1609488483,33554432
1609488783,67108864
1609489083,67108864
1609489383,67108864
1609489683,33554432
1609489983,33554432
1609490283,33554432
1609490583,33554432
1609490883,33554432
1609491183,33554432
1609491483,67108864
1609491783,67108864
1609492083,67108864
1609492383,33554432
1609492683,67108864
1609492983,67108864
1609493283,33554432
1609493583,67108864
1609493883,67108864
1609494183,67108864
1609494483,33554432
1609494783,33554432
1609495083,33554432
1609495383,67108864
1609495683,67108864
1609495983,67108864
1609496283,67108864
1609496583,67108864
1609496636,33554432
1609496636,33554432
