t,value
1609498078,202373
1609498378,202373
1609498678,202373
1609498978,202373
1609499278,202373
1609499578,202373
1609499878,209600
1609500178,209600
1609500478,209600
1609500778,209600
1609501078,209600
1609501378,209600
1609501678,216086
1609501978,216086
1609502278,216086
1609502578,216086
1609502878,216086
1609503178,216086
1609503478,222354
1609503778,222354
1609504078,222354
1609504378,222354
1609504678,222354
1609504978,222354
1609505278,228390
1609505578,228390
1609505878,228390
1609506178,228390
1609506478,228390
1609506778,228390
1609507078,234281
1609507378,234281
1609507678,234281
1609507978,234281
1609508278,234281
1609508578,234281
1609508878,240212
1609509178,240212
1609509478,240212
1609509778,240212
1609510078,240212
1609510378,240212
1609510678,245866
1609510978,245866
1609511278,245866
1609511578,245866
1609511878,245866
1609512178,245866
1609512478,251684
1609512778,251684
1609513078,251684
1609513378,251684
1609513678,251684
1609513978,251684
1609514278,257706
1609514578,257706
1609514878,257706
1609515178,257706
1609515478,257706
1609515778,257706
1609516078,263396
1609516378,263396
1609516678,263396
1609516978,263396
1609517278,263396
1609517578,263396
1609517878,269073
1609518178,269073
1609518478,269073
1609518778,269073
1609519078,269073
1609519378,269073
1609519678,274837
1609519978,274837
1609520278,274837
1609520578,274837
1609520878,274837
1609521178,274837
1609521478,280629
1609521778,280629
1609522078,280629
1609522378,280629
1609522678,280629
1609522978,280629
1609523278,286698
1609523578,286698
1609523878,286698
1609524178,286698
1609524478,286698
1609524778,286698
1609525078,292724
1609525378,292724
1609525678,292724
1609525978,292724
1609526278,292724
1609526578,292724
1609526878,298381
1609527178,298381
1609527478,298381
1609527778,298381
1609528078,298381
1609528378,298381
1609528678,303825
1609528978,303825
1609529278,303825
1609529578,303825
1609529878,303825
1609530178,303825
1609530478,309454
1609530778,309454
1609531078,309454
1609531378,309454
1609531678,309454
1609531978,309454
1609532278,315564
1609532578,315564
1609532878,315564
1609533178,315564
1609533478,315564
1609533778,315564
1609534078,321318
1609534378,321318
1609534678,321318
1609534978,321318
1609535278,321318
1609535578,321318
1609535878,327009
1609536178,327009
1609536478,327009
1609536778,327009
1609537078,327009
1609537378,327009
1609537678,332386
1609537978,332386
1609538278,332386
1609538578,332386
1609538878,332386
1609539178,332386
1609539478,337952
1609539778,337952
1609540078,337952
1609540378,337952
1609540678,337952
1609540978,337952
1609541278,343710
1609541578,343710
1609541878,343710
1609542178,343710
1609542478,343710
1609542778,343710
1609543078,349525
1609543378,349525
1609543678,349525
1609543978,349525
1609544278,349525
1609544578,349525
1609544878,355333
1609545178,355333
1609545478,355333
1609545778,355333
1609546078,355333
1609546378,355333
1609546678,361093
1609546978,361093
1609547278,361093
1609547578,361093
1609547878,361093
1609548178,361093
1609548277,366778
1609548278,366778
