t,value
1609498078,2013265920
1609498378,2013265920
1609498678,2013265920
1609498978,2013265920
1609499278,2013265920
1609499578,2013265920
1609499878,2013265920
1609500178,2013265920
1609500478,2013265920
1609500778,2013265920
1609501078,2013265920
1609501378,2013265920
1609501678,2013265920
1609501978,2013265920
1609502278,2013265920
1609502578,2013265920
1609502878,2013265920
1609503178,2013265920
1609503478,2013265920
1609503778,2013265920
1609504078,2013265920
1609504378,2013265920
1609504678,2013265920
1609504978,2013265920
1609505278,2013265920
1609505578,2013265920
1609505878,2013265920
1609506178,2013265920
1609506478,2013265920
1609506778,2013265920
1609507078,2013265920
1609507378,2013265920
1609507678,2013265920
1609507978,2013265920
1609508278,2013265920
1609508578,2013265920
1609508878,2013265920
1609509178,2013265920
1609509478,2013265920
1609509778,2013265920
1609510078,2013265920
1609510378,2013265920
1609510678,2013265920
1609510978,2013265920
1609511278,2013265920
1609511578,2013265920
1609511878,2013265920
1609512178,2013265920
1609512478,2013265920
1609512778,2013265920
1609513078,2013265920
1609513378,2013265920
1609513678,2013265920
1609513978,2013265920
1609514278,2013265920
1609514578,2013265920
1609514878,2013265920
1609515178,2013265920
1609515478,2013265920
1609515778,2013265920
1609516078,2013265920
1609516378,2013265920
1609516678,2013265920
1609516978,2013265920
1609517278,2013265920
1609517578,2013265920
1609517878,2013265920
1609518178,2013265920
1609518478,2013265920
1609518778,2013265920
1609519078,2013265920
1609519378,2013265920
1609519678,2013265920
1609519978,2013265920
1609520278,2013265920
1609520578,2013265920
1609520878,2013265920
1609521178,2013265920
1609521478,2013265920
1609521778,2013265920
1609522078,2013265920
1609522378,2013265920
1609522678,2013265920
1609522978,2013265920
1609523278,2013265920
1609523578,2013265920
1609523878,2013265920
1609524178,2013265920
1609524478,2013265920
1609524778,2013265920
1609525078,2013265920
1609525378,2013265920
1609525678,2013265920
1609525978,2013265920
1609526278,2013265920
1609526578,2013265920
1609526878,2013265920
1609527178,2013265920
1609527478,2013265920
1609527778,2013265920
1609528078,2013265920
1609528378,2013265920
1609528678,2013265920
1609528978,2013265920
1609529278,2013265920
1609529578,2013265920
1609529878,2013265920
1609530178,2013265920
1609530478,2013265920
1609530778,2013265920
1609531078,2013265920
1609531378,2013265920
1609531678,2013265920
1609531978,2013265920
1609532278,2013265920
1609532578,2013265920
1609532878,2013265920
1609533178,2013265920
1609533478,2013265920
1609533778,2013265920
1609534078,2013265920
1609534378,2013265920
1609534678,2013265920
1609534978,2013265920
1609535278,2013265920
1609535578,2013265920
1609535878,2013265920
1609536178,2013265920
1609536478,2013265920
1609536778,2013265920
1609537078,2013265920
1609537378,2013265920
1609537678,2013265920
1609537978,2013265920
1609538278,2013265920
1609538578,2013265920
1609538878,2013265920
1609539178,2013265920
1609539478,2013265920
1609539778,2013265920
1609540078,2013265920
1609540378,2013265920
1609540678,2013265920
1609540978,2013265920
1609541278,2013265920
1609541578,2013265920
1609541878,2013265920
1609542178,2013265920
1609542478,2013265920
1609542778,2013265920
1609543078,2013265920
1609543378,2013265920
1609543678,2013265920
1609543978,2013265920
1609544278,2013265920
1609544578,2013265920
1609544878,2013265920
1609545178,2013265920
1609545478,2013265920
1609545778,2013265920
1609546078,2013265920
1609546378,2013265920
1609546678,2013265920
1609546978,2013265920
1609547278,2013265920
1609547578,2013265920
1609547878,2013265920
1609548178,2013265920
1609548277,2013265920
1609548278,2013265920
