t,value
1609549672,1
1609549972,1
1609550272,0
1609550572,0
1609550872,0
1609551172,0
1609551472,0
1609551772,0
1609552072,0
1609552372,0
1609552672,0
1609552972,0
1609553272,0
1609553572,0
1609553872,0
1609554172,0
1609554472,0
1609554772,0
1609555072,0
1609555372,0
1609555672,0
1609555972,0
1609556272,0
1609556572,0
1609556872,0
1609557172,0
1609557472,0
1609557772,0
1609558072,0
1609558372,0
1609558672,0
1609558972,0
1609559272,0
1609559572,0
1609559872,0
1609560172,0
1609560472,0
1609560772,0
1609561072,0
1609561372,0
1609561672,0
1609561972,0
1609562272,0
1609562572,0
1609562872,0
1609563172,0
1609563472,0
1609563772,0
1609564072,0
1609564372,0
1609564672,0
1609564972,0
1609565272,0
1609565572,0
1609565872,0
1609566172,0
1609566472,0
1609566772,0
1609567072,0
1609567372,0
1609567672,0
1609567972,0
1609568272,0
1609568572,0
1609568872,0
1609569172,0
1609569472,0
1609569772,0
1609570072,0
1609570372,0
1609570672,0
1609570972,0
1609571272,0
1609571572,0
1609571872,0
1609572172,0
1609572472,0
1609572772,0
1609573072,0
1609573372,0
1609573672,0
1609573972,0
1609574272,0
1609574572,0
1609574872,0
1609575172,0
1609575472,0
1609575772,0
1609576072,0
1609576372,0
1609576672,0
1609576972,0
1609577272,0
1609577572,0
1609577872,0
1609578172,0
1609578472,0
1609578772,0
1609579072,0
1609579372,0
1609579672,0
1609579972,0
1609580272,0
1609580572,0
1609580872,0
1609581172,0
1609581472,0
1609581772,0
1609582072,0
1609582372,0
1609582672,0
1609582972,0
1609583272,0
1609583572,0
1609583872,0
1609584172,0
1609584472,0
1609584772,0
1609585072,0
1609585372,0
1609585672,0
1609585972,0
1609586272,0
1609586572,0
1609586872,0
1609587172,0
1609587472,0
1609587772,0
1609588072,0
1609588372,0
1609588672,0
1609588972,0
1609589272,0
1609589572,0
1609589872,0
1609590172,0
1609590472,0
1609590772,0
1609591072,0
1609591372,0
1609591672,0
1609591972,0
1609592272,0
1609592572,0
1609592872,0
1609593172,0
1609593472,0
1609593772,0
1609594072,0
1609594372,0
1609594672,0
1609594972,0
1609595272,0
1609595572,0
1609595872,0
1609596172,0
1609596472,0
1609596772,0
1609596797,0
1609596797,0
