t,value
1609644083,109
1609644383,109
1609644683,109
1609644983,109
1609645283,109
1609645583,109
1609645883,110
1609646183,110
1609646483,110
1609646783,110
1609647083,110
1609647383,110
1609647683,111
1609647983,111
1609648283,111
1609648583,111
1609648883,111
1609649183,111
1609649483,112
1609649783,112
1609650083,112
1609650383,112
1609650683,112
1609650983,112
1609651283,113
1609651583,113
1609651883,113
1609652183,113
1609652483,113
1609652783,113
1609653083,114
1609653383,114
1609653683,114
1609653983,114
1609654283,114
1609654583,114
1609654883,115
1609655183,115
1609655483,115
1609655783,115
1609656083,115
1609656383,115
1609656683,116
1609656983,116
1609657283,116
1609657583,116
1609657883,116
1609658183,116
1609658483,117
1609658783,117
1609659083,117
1609659383,117
1609659683,117
1609659983,117
1609660283,118
1609660583,118
1609660883,118
1609661183,118
1609661483,118
1609661783,118
1609662083,119
1609662383,119
1609662683,119
1609662983,119
1609663283,119
1609663583,119
1609663883,120
1609664183,120
1609664483,120
1609664783,120
1609665083,120
1609665383,120
1609665683,121
1609665983,121
1609666283,121
1609666583,121
1609666883,121
1609667183,121
1609667483,122
1609667783,122
1609668083,122
1609668383,122
1609668683,122
1609668983,122
1609669283,123
1609669583,123
1609669883,123
1609670183,123
1609670483,123
1609670783,123
1609671083,124
1609671383,124
1609671683,124
1609671983,124
1609672283,124
1609672583,124
1609672883,125
1609673183,125
1609673483,125
1609673783,125
1609674083,125
1609674383,125
1609674683,126
1609674983,126
1609675283,126
1609675583,126
1609675883,126
1609676183,126
1609676483,127
1609676783,127
1609677083,127
1609677383,127
1609677683,127
1609677983,127
1609678283,128
1609678583,128
1609678883,128
1609679183,128
1609679483,128
1609679783,128
1609680083,129
1609680383,129
1609680683,129
1609680983,129
1609681283,129
1609681583,129
1609681883,130
1609682183,130
1609682483,130
1609682783,130
1609683083,130
1609683383,130
1609683683,131
1609683983,131
1609684283,131
1609684583,131
1609684883,131
1609685183,131
1609685483,132
1609685783,132
1609686083,132
1609686297,132
1609686297,132
