t,value
1609767453,158213824512
1609767753,184185020416
1609768053,184185020416
1609768353,184185020416
1609768653,184185020416
1609768953,184185020416
1609769253,55939981312
1609769553,55939981312
1609769853,55939981312
1609770153,55939981312
1609770453,55939981312
1609770753,55939981312
1609771053,55503773696
1609771353,55503773696
1609771653,55503773696
1609771953,55503773696
1609772253,55503773696
1609772553,55503773696
1609772853,55403110400
1609773153,55403110400
1609773453,55403110400
1609773753,55403110400
1609774053,55403110400
1609774353,55403110400
1609774653,55268892672
1609774953,55268892672
1609775253,55268892672
1609775553,55268892672
1609775853,55268892672
1609776153,55268892672
1609776453,55268892672
1609776753,55268892672
1609777053,55268892672
1609777353,55268892672
1609777653,55268892672
1609777953,55268892672
1609778253,55268892672
1609778553,55268892672
1609778853,55268892672
1609779153,55268892672
1609779453,55268892672
1609779753,55268892672
1609780053,55268892672
1609780353,55268892672
1609780653,55268892672
1609780953,55268892672
1609781253,55268892672
1609781553,55268892672
1609781853,55168229376
1609782153,55168229376
1609782453,55168229376
1609782753,55168229376
1609783053,55168229376
1609783353,55168229376
1609783653,55168229376
1609783953,55168229376
1609784253,55168229376
1609784553,55168229376
1609784853,55168229376
1609785153,55168229376
1609785453,55067566080
1609785753,55067566080
1609786053,55067566080
1609786353,55067566080
1609786653,55067566080
1609786953,55067566080
1609787253,55067566080
1609787553,55067566080
1609787853,55067566080
1609788153,55067566080
1609788453,55067566080
1609788753,55067566080
1609789053,55067566080
1609789353,55067566080
1609789653,55067566080
1609789953,55067566080
1609790253,55067566080
1609790553,55067566080
1609790853,55067566080
1609791153,55067566080
1609791453,55067566080
1609791753,55067566080
1609792053,55067566080
1609792353,55067566080
1609792653,55067566080
1609792953,55067566080
1609793253,55067566080
1609793553,55067566080
1609793853,55067566080
1609794153,55067566080
1609794453,55067566080
1609794753,55067566080
1609795053,55067566080
1609795353,55067566080
1609795653,55067566080
1609795953,55067566080
1609796253,54933348352
1609796553,54933348352
1609796853,54933348352
1609797153,54933348352
1609797453,54933348352
1609797753,54933348352
1609798053,54933348352
1609798353,54933348352
1609798653,54933348352
1609798953,54933348352
1609799253,54933348352
1609799553,54933348352
1609799853,54933348352
1609800153,54933348352
1609800453,54933348352
1609800753,54933348352
1609801053,54933348352
1609801353,54933348352
1609801653,54933348352
1609801886,54933348352
1609801886,54933348352
