t,value
1609802914,3
1609803214,0
1609803514,0
1609803814,0
1609804114,0
1609804414,0
1609804714,0
1609805014,0
1609805314,0
1609805614,0
1609805914,0
1609806214,0
1609806514,0
1609806814,0
1609807114,0
1609807414,0
1609807714,0
1609808014,0
1609808314,0
1609808614,0
1609808914,0
1609809214,0
1609809514,0
1609809814,0
1609810114,0
1609810414,0
1609810714,0
1609811014,0
1609811314,0
1609811614,0
1609811914,0
1609812214,0
1609812514,0
1609812814,0
1609813114,0
1609813414,0
1609813714,0
1609814014,0
1609814314,0
1609814614,0
1609814914,0
1609815214,0
1609815514,0
1609815814,0
1609816114,0
1609816414,0
1609816714,0
1609817014,0
1609817314,0
1609817614,0
1609817914,0
1609818214,0
1609818514,0
1609818814,0
1609819114,0
1609819414,0
1609819714,0
1609820014,0
1609820314,0
1609820614,0
1609820914,0
1609821214,0
1609821514,0
1609821814,0
1609822114,0
1609822414,0
1609822714,0
1609823014,0
1609823314,0
1609823614,0
1609823914,0
1609824214,0
1609824514,0
1609824814,0
1609825114,0
1609825414,0
1609825714,0
1609826014,0
1609826314,0
1609826614,0
1609826914,0
1609827214,0
1609827514,0
1609827814,0
1609828114,0
1609828414,0
1609828714,0
1609829014,0
1609829314,0
1609829614,0
1609829914,0
1609830214,0
1609830514,0
1609830814,0
1609831114,0
1609831414,0
1609831714,0
1609832014,0
1609832314,0
1609832614,0
1609832914,0
1609833214,0
1609833514,0
1609833814,0
1609834114,0
1609834414,0
1609834714,0
1609835014,0
1609835314,0
1609835345,0
1609835345,0
