t,value
1609836310,7667712
1609836610,7667712
1609836910,7667712
1609837210,7667712
1609837510,7667712
1609837810,7667712
1609838110,7667712
1609838410,7667712
1609838710,7667712
1609839010,7667712
1609839310,7667712
1609839610,7667712
1609839910,7667712
1609840210,7667712
1609840510,7667712
1609840810,7667712
1609841110,7667712
1609841410,7667712
1609841710,7667712
1609842010,7667712
1609842310,7667712
1609842610,7667712
1609842910,7667712
1609843210,7667712
1609843510,7667712
1609843810,7667712
1609844110,7667712
1609844410,7667712
1609844710,7667712
1609845010,7667712
1609845310,7667712
1609845610,7667712
1609845910,7667712
1609846210,7667712
1609846510,7667712
1609846810,7667712
1609847110,7667712
1609847410,7667712
1609847710,7667712
1609848010,7667712
1609848310,7667712
1609848610,7667712
1609848910,7667712
1609849210,7667712
1609849510,7667712
1609849810,7667712
1609850110,7667712
1609850410,7667712
1609850710,7667712
1609851010,7667712
1609851310,7667712
1609851610,7667712
1609851910,7667712
1609852210,7667712
1609852510,7667712
1609852810,7667712
1609853110,7667712
1609853410,7667712
1609853710,7667712
1609854010,7667712
1609854310,7667712
1609854610,7667712
1609854910,7667712
1609855210,7667712
1609855510,7667712
1609855810,7667712
1609856110,7667712
1609856410,7667712
1609856710,7667712
1609857010,7667712
1609857310,7667712
1609857610,7667712
1609857910,7667712
1609858210,7667712
1609858510,7667712
1609858810,7667712
1609859110,7667712
1609859410,7667712
1609859710,7667712
1609860010,7667712
1609860310,7667712
1609860610,7667712
1609860910,7667712
1609861210,7667712
1609861510,7667712
1609861810,7667712
1609862110,7667712
1609862410,7667712
1609862710,7667712
1609863010,7667712
1609863310,7667712
1609863610,7667712
1609863910,7667712
1609864210,7667712
1609864510,7667712
1609864810,7667712
1609865110,7667712
1609865410,7667712
1609865710,7667712
1609866010,7667712
1609866181,7667712
1609866181,7667712
