t,value
1609836310,40575744
1609836610,40585728
1609836910,40585728
1609837210,40585728
1609837510,40585728
1609837810,40585728
1609838110,40585728
1609838410,40585728
1609838710,40585728
1609839010,40585728
1609839310,40585728
1609839610,40585728
1609839910,40585728
1609840210,40585728
1609840510,40585728
1609840810,40585728
1609841110,40585728
1609841410,40585728
1609841710,40585728
1609842010,40585728
1609842310,40585728
1609842610,40585728
1609842910,40585728
1609843210,40585728
1609843510,40585728
1609843810,40585728
1609844110,40585728
1609844410,40585728
1609844710,40585728
1609845010,40585728
1609845310,40585728
1609845610,40585728
1609845910,40585728
1609846210,40585728
1609846510,40585728
1609846810,40585728
1609847110,40585728
1609847410,40585728
1609847710,40585728
1609848010,40585728
1609848310,40585728
1609848610,40585728
1609848910,40585728
1609849210,40585728
1609849510,40585728
1609849810,40585728
1609850110,40585728
1609850410,40575488
1609850710,40575488
1609851010,40575488
1609851310,40575488
1609851610,40575488
1609851910,40575488
1609852210,40575488
1609852510,40575488
1609852810,40575488
1609853110,40575488
1609853410,40575488
1609853710,40575488
1609854010,40575488
1609854310,40575488
1609854610,40575488
1609854910,40575488
1609855210,40575488
1609855510,40575488
1609855810,40575488
1609856110,40575488
1609856410,40575488
1609856710,40575488
1609857010,40575488
1609857310,40575488
1609857610,40575488
1609857910,40575488
1609858210,40575488
1609858510,40575488
1609858810,40575488
1609859110,40575488
1609859410,40575488
1609859710,40575488
1609860010,40575488
1609860310,40575488
1609860610,40575488
1609860910,40575488
1609861210,40575488
1609861510,40575488
1609861810,40575488
1609862110,40575488
1609862410,40575488
1609862710,40575488
1609863010,40575488
1609863310,40575488
1609863610,40575488
1609863910,40575488
1609864210,40575488
1609864510,40575488
1609864810,40575488
1609865110,40575488
1609865410,40575488
1609865710,40570624
1609866010,40570624
1609866181,40570624
1609866181,40570624
