t,value
1609892073,192332
1609892373,192332
1609892673,192332
1609892973,192332
1609893273,192332
1609893573,192332
1609893873,192332
1609894173,192332
1609894473,192332
1609894773,192332
1609895073,192332
1609895373,192332
1609895673,192332
1609895973,192332
1609896273,192332
1609896573,192332
1609896873,192332
1609897173,192332
1609897473,192332
1609897773,192332
1609898073,192332
1609898373,192332
1609898673,192332
1609898973,192332
1609899273,192332
1609899573,192332
1609899873,192332
1609900173,192332
1609900473,192332
1609900773,192332
1609901073,192332
1609901373,192332
1609901673,192332
1609901973,192332
1609902273,192332
1609902573,192332
1609902873,192332
1609903173,192332
1609903473,192332
1609903773,192332
1609904073,192332
1609904373,192332
1609904673,192332
1609904973,192332
1609905273,192332
1609905573,192332
1609905873,192332
1609906173,192332
1609906473,192332
1609906773,192332
1609907073,192332
1609907373,192332
1609907673,192332
1609907973,192332
1609908273,192332
1609908573,192332
1609908873,192332
1609909173,192332
1609909473,192332
1609909773,192332
1609910073,192332
1609910373,192332
1609910673,192332
1609910973,192332
1609911273,192332
1609911573,192332
1609911873,192332
1609912173,192332
1609912473,192332
1609912773,192332
1609913073,192332
1609913247,192332
1609913247,192332
