t,value
1609892073,21976704
1609892373,21976704
1609892673,21976704
1609892973,21976704
1609893273,21976704
1609893573,21976704
1609893873,21979264
1609894173,21979264
1609894473,21979264
1609894773,21979264
1609895073,21979264
1609895373,21979264
1609895673,21979264
1609895973,21979264
1609896273,21979264
1609896573,21979264
1609896873,21979264
1609897173,21979264
1609897473,21979264
1609897773,21979264
1609898073,21979264
1609898373,21979264
1609898673,21979264
1609898973,21979264
1609899273,21979264
1609899573,21979264
1609899873,21979264
1609900173,21979264
1609900473,21979264
1609900773,21979264
1609901073,21979264
1609901373,21979264
1609901673,21979264
1609901973,21979264
1609902273,21979264
1609902573,21979264
1609902873,21979264
1609903173,21979264
1609903473,21979264
1609903773,21979264
1609904073,21979264
1609904373,21979264
1609904673,21979264
1609904973,21979264
1609905273,21979264
1609905573,21979264
1609905873,21979264
1609906173,21979264
1609906473,21979264
1609906773,21979264
1609907073,21979264
1609907373,21979264
1609907673,21979264
1609907973,21979264
1609908273,21979264
1609908573,21979264
1609908873,21979264
1609909173,21979264
1609909473,21979264
1609909773,21979264
1609910073,21979264
1609910373,21979264
1609910673,21979264
1609910973,21979264
1609911273,21979264
1609911573,21979264
1609911873,21979264
1609912173,21979264
1609912473,21979264
1609912773,21979264
1609913073,21979264
1609913247,21979264
1609913247,21979264
