t,value
1609914072,0
1609914372,0
1609914672,0
1609914972,0
1609915272,0
1609915572,0
1609915872,0
1609916172,0
1609916472,0
1609916772,0
1609917072,0
1609917372,0
1609917672,0
1609917972,0
1609918272,0
1609918572,0
1609918872,0
1609919172,0
1609919472,0
1609919772,0
1609920072,0
1609920372,0
1609920672,0
1609920972,0
1609921272,0
1609921572,0
1609921872,0
1609922172,0
1609922472,0
1609922772,0
1609923072,0
1609923372,0
1609923672,0
1609923972,0
1609924272,0
1609924572,0
1609924872,0
1609925172,0
1609925472,0
1609925772,0
1609926072,0
1609926372,0
1609926672,0
1609926972,0
1609927272,0
1609927572,0
1609927872,0
1609928172,0
1609928472,0
1609928772,0
1609929072,0
1609929372,0
1609929672,0
1609929972,0
1609930272,0
1609930572,0
1609930872,0
1609931172,0
1609931472,0
1609931772,0
1609932072,0
1609932372,0
1609932672,0
1609932810,0
1609932810,0
