t,value
1609914072,122032128
1609914372,122032128
1609914672,122032128
1609914972,122032128
1609915272,122032128
1609915572,122032128
1609915872,122032128
1609916172,122032128
1609916472,122032128
1609916772,122032128
1609917072,122032128
1609917372,122032128
1609917672,122032128
1609917972,122032128
1609918272,122032128
1609918572,122032128
1609918872,122032128
1609919172,122032128
1609919472,122032128
1609919772,122032128
1609920072,122032128
1609920372,122032128
1609920672,122032128
1609920972,122032128
1609921272,122032128
1609921572,122032128
1609921872,122032128
1609922172,122032128
1609922472,122032128
1609922772,122032128
1609923072,122032128
1609923372,122032128
1609923672,122032128
1609923972,122032128
1609924272,122032128
1609924572,122032128
1609924872,122032128
1609925172,122032128
1609925472,122032128
1609925772,122032128
1609926072,122032128
1609926372,122032128
1609926672,122032128
1609926972,122032128
1609927272,122032128
1609927572,122032128
1609927872,122032128
1609928172,122032128
1609928472,122032128
1609928772,122032128
1609929072,122032128
1609929372,122032128
1609929672,122032128
1609929972,122032128
1609930272,122032128
1609930572,122032128
1609930872,122032128
1609931172,122032128
1609931472,122032128
1609931772,122032128
1609932072,122032128
1609932372,122032128
1609932672,122032128
1609932810,122032128
1609932810,122032128
