t,value
1609950649,22347776
1609950949,22347776
1609951249,22347776
1609951549,22347776
1609951849,22347776
1609952149,22347776
1609952449,22347776
1609952749,22347776
1609953049,22347776
1609953349,22347776
1609953649,22347776
1609953949,22347776
1609954249,22347776
1609954549,22347776
1609954849,22347776
1609955149,22347776
1609955449,22347776
1609955749,22347776
1609956049,22347776
1609956349,22347776
1609956649,22347776
1609956949,22347776
1609957249,22347776
1609957549,22347776
1609957849,22347776
1609958149,22347776
1609958449,22347776
1609958749,22347776
1609959049,22347776
1609959349,22347776
1609959649,22347776
1609959949,22347776
1609960249,22347776
1609960549,22347776
1609960849,22347776
1609961149,22347776
1609961449,22347776
1609961749,22347776
1609962049,22347776
1609962349,22347776
1609962649,22347776
1609962949,22347776
1609963249,22347776
1609963549,22347776
1609963849,22347776
1609964032,22347776
1609964032,22347776
