t,value
1609975584,226219576
1609975884,226219576
1609976184,226219576
1609976484,226219576
1609976784,226219576
1609977084,226219576
1609977384,226199480
1609977684,226199480
1609977984,226199480
1609978284,226199480
1609978584,226199480
1609978884,226199480
1609979184,226199480
1609979484,226199480
1609979784,226199480
1609980084,226199480
1609980384,226199480
1609980684,226199480
1609980984,226199480
1609981284,226199480
1609981584,226199480
1609981884,226199480
1609982184,226199480
1609982484,226199480
1609982784,226199480
1609983084,226199480
1609983384,226199480
1609983495,226199480
1609983495,226199480
