t,value
1610014210,184140
1610014510,184140
1610014810,184140
1610015110,184140
1610015410,184140
1610015710,184140
1610016010,184140
1610016310,184140
1610016610,184140
1610016910,184140
1610017210,184140
1610017510,184140
1610017810,184140
1610018110,184140
1610018410,184140
1610018710,184140
1610019010,184140
1610019310,184140
1610019610,184140
1610019910,184140
1610020210,184140
1610020510,184140
1610020810,184140
1610021110,184140
1610021410,184140
1610021710,184140
1610022010,184140
1610022310,184140
1610022610,184140
1610022910,184140
1610023210,184140
1610023510,184140
1610023810,184140
1610024110,184140
1610024410,184140
1610024710,184140
1610025010,184140
1610025310,184140
1610025610,184140
1610025910,184140
1610026210,184140
1610026510,184140
1610026810,184140
1610027110,184140
1610027410,184140
1610027710,184140
1610028010,184140
1610028310,184140
1610028610,184140
1610028910,184140
1610029210,184140
1610029510,184140
1610029810,184140
1610030110,184140
1610030410,184140
1610030710,184140
1610031010,184140
1610031310,184140
1610031610,184140
1610031910,184140
1610032210,184140
1610032510,184140
1610032810,184140
1610033110,184140
1610033410,184140
1610033710,184140
1610034010,184140
1610034310,184140
1610034610,184140
1610034910,184140
1610035210,184140
1610035510,184140
1610035810,184140
1610036110,184140
1610036410,184140
1610036710,184140
1610037010,184140
1610037310,184140
1610037610,184140
1610037910,184140
1610038210,184140
1610038510,184140
1610038810,184140
1610039110,184140
1610039410,184140
1610039710,184140
1610040010,184140
1610040310,184140
1610040610,184140
1610040910,184140
1610041210,184140
1610041510,184140
1610041810,184140
1610042110,184140
1610042410,184140
1610042710,184140
1610043010,184140
1610043310,184140
1610043610,184140
1610043910,184140
1610044210,184140
1610044510,184140
1610044810,184140
1610045110,184140
1610045410,184140
1610045710,184140
1610046010,184140
1610046310,184140
1610046610,184140
1610046910,184140
1610047210,184140
1610047510,184140
1610047810,184140
1610048110,184140
1610048410,184140
1610048710,184140
1610049010,184140
1610049310,184140
1610049610,184140
1610049910,184140
1610050210,184140
1610050510,184140
1610050810,184140
1610051110,184140
1610051410,184140
1610051710,184140
1610052010,184140
1610052310,184140
1610052610,184140
1610052910,184140
1610053210,184140
1610053510,184140
1610053810,184140
1610054110,184140
1610054410,184140
1610054710,184140
1610055010,184140
1610055310,184140
1610055610,184140
1610055910,184140
1610056210,184140
1610056510,184140
1610056810,184140
1610057110,184140
1610057410,184140
1610057710,184140
1610058010,184140
1610058310,184140
1610058610,184140
1610058910,184140
1610059210,184140
1610059510,184140
1610059810,184140
1610060110,184140
1610060410,184140
1610060710,184140
1610061010,184140
1610061310,184140
1610061610,184140
1610061910,184140
1610062210,184140
1610062510,184140
1610062810,184140
1610063110,184140
1610063410,184140
1610063710,184140
1610064010,184140
1610064310,184140
1610064610,184140
1610064910,184140
1610065210,184140
1610065510,184140
1610065810,184140
1610066110,184140
1610066410,184140
1610066710,184140
1610067010,184140
1610067310,184140
1610067610,184140
1610067910,184140
1610068210,184140
1610068510,184140
1610068810,184140
1610069110,184140
1610069410,184140
1610069710,184140
1610070010,184140
1610070310,184140
1610070610,184140
1610070910,184140
1610071210,184140
1610071510,184140
1610071810,184140
1610072110,184140
1610072410,184140
1610072710,184140
1610073010,184140
1610073310,184140
1610073610,184140
1610073910,184140
1610074210,184140
1610074510,184140
1610074810,184140
1610075110,184140
1610075410,184140
1610075710,184140
1610076010,184140
1610076310,184140
1610076610,184140
1610076910,184140
1610077210,184140
1610077510,184140
1610077810,184140
1610078110,184140
1610078410,184140
1610078710,184140
1610079010,184140
1610079310,184140
1610079610,184140
1610079910,184140
1610080210,184140
1610080510,184140
1610080810,184140
1610081110,184140
1610081410,184140
1610081710,184140
1610082010,184140
1610082310,184140
1610082610,184140
1610082910,184140
1610083210,184140
1610083510,184140
1610083602,184140
1610083602,184140
