t,value
1610014210,2538
1610014510,2570
1610014810,2576
1610015110,2579
1610015410,2583
1610015710,2586
1610016010,2599
1610016310,2618
1610016610,2635
1610016910,2649
1610017210,2665
1610017510,2680
1610017810,2694
1610018110,2709
1610018410,2724
1610018710,2739
1610019010,2754
1610019310,2769
1610019610,2783
1610019910,2798
1610020210,2813
1610020510,2829
1610020810,2844
1610021110,2870
1610021410,2886
1610021710,2898
1610022010,2909
1610022310,2922
1610022610,2933
1610022910,2945
1610023210,2959
1610023510,2975
1610023810,2990
1610024110,3006
1610024410,3033
1610024710,3048
1610025010,3062
1610025310,3078
1610025610,3094
1610025910,3109
1610026210,3124
1610026510,3141
1610026810,3156
1610027110,3171
1610027410,3187
1610027710,3201
1610028010,3217
1610028310,3233
1610028610,3250
1610028910,3280
1610029210,3311
1610029510,3338
1610029810,3355
1610030110,3371
1610030410,3386
1610030710,3403
1610031010,3418
1610031310,3434
1610031610,3449
1610031910,3464
1610032210,3478
1610032510,3493
1610032810,3508
1610033110,3524
1610033410,3540
1610033710,3555
1610034010,3569
1610034310,3584
1610034610,3600
1610034910,3615
1610035210,3630
1610035510,3645
1610035810,3659
1610036110,3674
1610036410,3690
1610036710,3714
1610037010,3739
1610037310,3754
1610037610,3769
1610037910,3796
1610038210,3823
1610038510,3838
1610038810,3854
1610039110,3869
1610039410,3883
1610039710,3899
1610040010,3914
1610040310,3930
1610040610,3940
1610040910,3945
1610041210,3949
1610041510,3953
1610041810,3956
1610042110,3959
1610042410,3963
1610042710,3965
1610043010,3966
1610043310,3967
1610043610,3968
1610043910,3969
1610044210,3970
1610044510,3971
1610044810,3972
1610045110,3973
1610045410,3974
1610045710,3975
1610046010,3976
1610046310,3977
1610046610,3978
1610046910,3979
1610047210,3980
1610047510,3981
1610047810,3982
1610048110,3984
1610048410,3985
1610048710,3986
1610049010,3987
1610049310,3988
1610049610,3989
1610049910,3990
1610050210,3991
1610050510,3992
1610050810,3993
1610051110,3994
1610051410,3995
1610051710,3996
1610052010,3997
1610052310,3998
1610052610,3999
1610052910,4000
1610053210,4001
1610053510,4002
1610053810,4003
1610054110,4004
1610054410,4005
1610054710,4006
1610055010,4007
1610055310,4008
1610055610,4009
1610055910,4010
1610056210,4011
1610056510,4012
1610056810,4013
1610057110,4015
1610057410,4016
1610057710,4017
1610058010,4018
1610058310,4019
1610058610,4020
1610058910,4022
1610059210,4023
1610059510,4024
1610059810,4025
1610060110,4026
1610060410,4027
1610060710,4028
1610061010,4029
1610061310,4030
1610061610,4031
1610061910,4032
1610062210,4033
1610062510,4035
1610062810,4036
1610063110,4037
1610063410,4038
1610063710,4039
1610064010,4040
1610064310,4042
1610064610,4043
1610064910,4044
1610065210,4045
1610065510,4046
1610065810,4047
1610066110,4048
1610066410,4049
1610066710,4050
1610067010,4051
1610067310,4052
1610067610,4053
1610067910,4055
1610068210,4056
1610068510,4057
1610068810,4058
1610069110,4059
1610069410,4060
1610069710,4062
1610070010,4063
1610070310,4064
1610070610,4065
1610070910,4066
1610071210,4067
1610071510,4069
1610071810,4070
1610072110,4071
1610072410,4072
1610072710,4073
1610073010,4074
1610073310,4075
1610073610,4076
1610073910,4077
1610074210,4078
1610074510,4079
1610074810,4080
1610075110,4082
1610075410,4083
1610075710,4084
1610076010,4085
1610076310,4086
1610076610,4087
1610076910,4089
1610077210,4090
1610077510,4091
1610077810,4092
1610078110,4093
1610078410,4094
1610078710,4096
1610079010,4097
1610079310,4098
1610079610,4099
1610079910,4100
1610080210,4101
1610080510,4103
1610080810,4104
1610081110,4105
1610081410,4106
1610081710,4107
1610082010,4108
1610082310,4110
1610082610,4111
1610082910,4112
1610083210,4113
1610083510,4114
1610083602,4115
1610083602,4115
