t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1610084932,19,3.745794,0.656401,0.006823,0.391632,0.695015,0.695015,1.323524,1.323524,1.323524,3.745794,0.063308,0.042992,1.131899,2.165546,calls/second,milliseconds
1610085232,68,3.745794,0.394878,0.006823,0.495314,0.160609,0.505390,1.351895,2.302374,2.302374,2.302374,0.113311,0.228204,0.537947,1.600881,calls/second,milliseconds
1610085532,76,5.371267,0.618050,0.006823,0.780314,0.257719,0.866545,2.039494,2.039494,5.371267,5.371267,0.084433,0.023551,0.213359,1.154416,calls/second,milliseconds
1610085832,81,5.371267,0.247592,0.006823,0.112310,0.276920,0.276920,0.276920,0.276920,0.276920,2.039494,0.067493,0.021428,0.089640,0.831991,calls/second,milliseconds
1610086132,86,5.371267,0.268394,0.006823,0.017547,0.263149,0.267676,0.296703,0.296703,0.331976,0.331976,0.057329,0.021414,0.044127,0.600964,calls/second,milliseconds
1610086432,91,5.371267,0.280671,0.006823,0.228679,0.150313,0.263149,0.685584,0.685584,0.685584,0.685584,0.050552,0.021414,0.027383,0.435426,calls/second,milliseconds
1610086732,102,5.371267,0.311543,0.004670,0.290484,0.270637,0.270637,0.368916,1.742331,1.742331,1.742331,0.048569,0.022178,0.028767,0.321630,calls/second,milliseconds
1610087032,107,5.371267,0.333387,0.004670,0.312935,0.141450,0.265797,0.882069,0.882069,0.882069,0.882069,0.044581,0.021419,0.021733,0.235274,calls/second,milliseconds
1610087332,112,5.371267,0.618379,0.004670,0.328580,0.887639,0.887639,0.887639,0.887639,0.887639,0.887639,0.041480,0.021414,0.019145,0.173398,calls/second,milliseconds
1610087632,117,5.371267,0.268628,0.004670,0.054078,0.273580,0.273580,0.273580,0.273580,0.273580,0.887639,0.038998,0.021414,0.018193,0.129061,calls/second,milliseconds
1610087932,122,5.371267,0.189011,0.004670,0.057410,0.142103,0.264219,0.264219,0.265757,0.265757,0.273580,0.036968,0.021414,0.017842,0.097293,calls/second,milliseconds
1610088232,127,5.371267,0.270127,0.004670,0.020636,0.270325,0.279116,0.291723,0.291723,0.291723,0.291723,0.035277,0.021414,0.017714,0.074530,calls/second,milliseconds
1610088532,132,5.371267,0.317173,0.004670,0.382982,0.221356,0.278040,0.278040,2.192563,2.192563,2.192563,0.033845,0.021414,0.017666,0.058219,calls/second,milliseconds
1610088832,137,5.371267,0.268390,0.004670,0.051075,0.283396,0.283396,0.283396,0.283396,0.283396,0.283396,0.032618,0.021414,0.017649,0.046532,calls/second,milliseconds
1610089132,142,5.371267,1.749670,0.004670,1.890569,0.804252,0.804252,5.085238,5.085238,5.085238,5.085238,0.031555,0.021414,0.017642,0.038158,calls/second,milliseconds
1610089432,147,5.371267,2.881117,0.004670,2.125856,4.628465,4.628465,4.628465,4.628465,4.628465,5.085238,0.030624,0.021414,0.017640,0.032158,calls/second,milliseconds
1610089732,152,5.371267,0.376638,0.004670,0.387295,0.292510,0.361313,0.905735,1.085988,1.085988,4.628465,0.029803,0.021414,0.017639,0.027858,calls/second,milliseconds
1610090032,157,5.371267,0.148335,0.004670,0.047802,0.141463,0.151667,0.163173,0.163173,0.292510,0.361313,0.029073,0.021414,0.017639,0.024778,calls/second,milliseconds
1610090332,162,5.371267,0.197749,0.004670,0.068975,0.142069,0.282809,0.284556,0.284556,0.284556,0.284556,0.028420,0.021414,0.017639,0.022570,calls/second,milliseconds
1610090632,167,5.371267,0.247669,0.004670,0.072975,0.257710,0.257710,0.257710,0.281726,0.730813,0.730813,0.027833,0.021414,0.017639,0.020989,calls/second,milliseconds
1610090932,172,5.371267,0.277718,0.004670,0.018902,0.266226,0.289420,0.306750,0.306750,0.306750,0.306750,0.027301,0.021414,0.017639,0.019855,calls/second,milliseconds
1610091232,177,5.371267,0.266982,0.004670,0.006591,0.266173,0.266226,0.274674,0.274674,0.274674,0.306750,0.026818,0.021414,0.017639,0.019043,calls/second,milliseconds
1610091532,182,5.371267,0.263265,0.004670,0.015049,0.251876,0.275157,0.292676,0.292676,0.292676,0.292676,0.026376,0.021414,0.017639,0.018462,calls/second,milliseconds
1610091832,187,5.371267,0.251142,0.004670,0.049104,0.279700,0.279700,0.279700,0.283043,0.283043,0.292676,0.025972,0.021414,0.017639,0.018045,calls/second,milliseconds
1610092132,192,5.371267,0.286773,0.004670,0.241223,0.269734,0.269734,0.334486,1.439671,1.439671,1.439671,0.025600,0.021414,0.017639,0.017746,calls/second,milliseconds
1610092432,197,5.371267,0.302186,0.004670,0.117829,0.303826,0.303826,0.303826,0.845178,0.845178,0.845178,0.025256,0.021414,0.017639,0.017532,calls/second,milliseconds
1610092732,202,5.371267,0.614370,0.004670,0.316948,0.873795,0.873795,0.873795,0.873795,0.873795,0.873795,0.024938,0.021414,0.017639,0.017378,calls/second,milliseconds
1610093032,207,5.371267,0.261705,0.004670,0.050676,0.261542,0.261542,0.261542,0.261542,0.261542,0.873795,0.024643,0.021414,0.017639,0.017269,calls/second,milliseconds
1610093332,212,5.371267,0.218186,0.004670,0.240827,0.122929,0.156846,0.940288,0.940288,0.940288,0.940288,0.024367,0.021414,0.017639,0.017190,calls/second,milliseconds
1610093632,217,5.371267,0.254839,0.004670,0.025814,0.254403,0.255219,0.261920,0.261920,0.261920,0.940288,0.024111,0.021414,0.017639,0.017133,calls/second,milliseconds
1610093932,222,5.371267,0.290147,0.004670,0.153377,0.256183,0.258569,0.286893,1.042028,1.042028,1.042028,0.023871,0.021414,0.017639,0.017093,calls/second,milliseconds
