t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1610084932,19,0.127600,0.041037,0.001994,0.017375,0.052733,0.052733,0.052733,0.052733,0.052733,0.127600,0.063327,0.042992,1.131899,2.165546,calls/second,milliseconds
1610085232,68,0.838512,0.070150,0.001518,0.199114,0.015230,0.030443,0.800228,0.838512,0.838512,0.838512,0.113328,0.228204,0.537947,1.600881,calls/second,milliseconds
1610085532,76,0.838512,0.046275,0.001518,0.067612,0.050450,0.050450,0.069690,0.069690,0.069690,0.838512,0.084441,0.023551,0.213359,1.154416,calls/second,milliseconds
1610085832,81,0.838512,0.055475,0.001518,0.018805,0.068140,0.068140,0.068140,0.068140,0.068140,0.069690,0.067498,0.021428,0.089640,0.831991,calls/second,milliseconds
1610086132,86,0.838512,0.039143,0.001518,0.013648,0.028350,0.050650,0.062277,0.067086,0.067086,0.068140,0.057332,0.021414,0.044127,0.600964,calls/second,milliseconds
1610086432,91,0.838512,0.040555,0.001518,0.003842,0.042090,0.042090,0.042090,0.050650,0.052024,0.062277,0.050555,0.021414,0.027383,0.435426,calls/second,milliseconds
1610086732,102,0.838512,0.053081,0.001518,0.016147,0.060687,0.060687,0.060687,0.060687,0.060687,0.060687,0.048571,0.022178,0.028767,0.321630,calls/second,milliseconds
1610087032,107,0.838512,0.037505,0.001518,0.006138,0.041530,0.041530,0.041530,0.041530,0.041530,0.060687,0.044583,0.021419,0.021733,0.235274,calls/second,milliseconds
1610087332,112,0.838512,0.033731,0.001518,0.009256,0.028023,0.035846,0.052643,0.060713,0.060713,0.060713,0.041481,0.021414,0.019145,0.173398,calls/second,milliseconds
1610087632,117,0.838512,0.059532,0.001518,0.003661,0.060163,0.060163,0.064147,0.064147,0.064147,0.064147,0.039000,0.021414,0.018193,0.129061,calls/second,milliseconds
1610087932,122,1.229588,0.073496,0.001518,0.148585,0.049046,0.061069,0.068559,0.068559,1.229588,1.229588,0.036969,0.021414,0.017842,0.097293,calls/second,milliseconds
1610088232,127,1.229588,0.058723,0.001518,0.020647,0.060396,0.060396,0.070780,0.070780,0.070780,0.070780,0.035278,0.021414,0.017714,0.074530,calls/second,milliseconds
1610088532,132,1.229588,0.050458,0.001518,0.113723,0.040333,0.040333,0.049526,0.060396,0.934022,0.934022,0.033846,0.021414,0.017666,0.058219,calls/second,milliseconds
1610088832,137,1.229588,0.406838,0.001518,0.303210,0.657596,0.657596,0.657596,0.657596,0.657596,0.657596,0.032619,0.021414,0.017649,0.046532,calls/second,milliseconds
1610089132,142,1.229588,0.101788,0.001518,0.079959,0.063660,0.063660,0.214484,0.214484,0.214484,0.657596,0.031555,0.021414,0.017642,0.038158,calls/second,milliseconds
1610089432,147,1.229588,0.083358,0.001518,0.028106,0.105020,0.105020,0.105020,0.105020,0.105020,0.214484,0.030625,0.021414,0.017640,0.032158,calls/second,milliseconds
1610089732,152,1.229588,0.099149,0.001518,0.172774,0.052447,0.092466,0.092466,0.942761,0.942761,0.942761,0.029804,0.021414,0.017639,0.027858,calls/second,milliseconds
1610090032,157,1.229588,0.041277,0.001518,0.019346,0.039530,0.043083,0.043083,0.049476,0.052447,0.092466,0.029074,0.021414,0.017639,0.024778,calls/second,milliseconds
1610090332,162,1.229588,0.047673,0.001518,0.007359,0.042193,0.055523,0.057916,0.057916,0.057916,0.057916,0.028421,0.021414,0.017639,0.022570,calls/second,milliseconds
1610090632,167,1.229588,0.037712,0.001518,0.009037,0.030390,0.048310,0.051620,0.051620,0.051620,0.057916,0.027833,0.021414,0.017639,0.020989,calls/second,milliseconds
1610090932,172,1.229588,0.050242,0.001518,0.005791,0.050539,0.051143,0.054713,0.054713,0.054713,0.054713,0.027301,0.021414,0.017639,0.019855,calls/second,milliseconds
1610091232,177,1.229588,0.048314,0.001518,0.004244,0.048030,0.050613,0.050613,0.050613,0.058120,0.058120,0.026818,0.021414,0.017639,0.019043,calls/second,milliseconds
1610091532,182,1.229588,0.038852,0.001518,0.011224,0.029654,0.050623,0.054126,0.054126,0.054126,0.054126,0.026377,0.021414,0.017639,0.018462,calls/second,milliseconds
1610091832,187,1.229588,0.044836,0.001518,0.011373,0.052580,0.052580,0.052580,0.052580,0.052580,0.054126,0.025972,0.021414,0.017639,0.018045,calls/second,milliseconds
1610092132,192,1.229588,0.061021,0.001518,0.124170,0.049140,0.049140,0.054434,0.054434,1.027035,1.027035,0.025600,0.021414,0.017639,0.017746,calls/second,milliseconds
1610092432,197,1.229588,0.034117,0.001518,0.015829,0.029030,0.036413,0.048610,0.048610,0.048610,0.049140,0.025256,0.021414,0.017639,0.017532,calls/second,milliseconds
