t,value
1610084932,72038278992
1610085232,99721411992
1610085532,97766860672
1610085832,99820946096
1610086132,101827176688
1610086432,101788634624
1610086732,26361037928
1610087032,24883561672
1610087332,19581932968
1610087632,25516163320
1610087932,28441199664
1610088232,25747986232
1610088532,22942658376
1610088832,19519636904
1610089132,42907514064
1610089432,33008927208
1610089732,45740521392
1610090032,55187499056
1610090332,26357860672
1610090632,35680098864
1610090932,44364916288
1610091232,53363392904
1610091532,24237343560
1610091832,32942897408
1610092132,25053069792
1610092432,33912798544
1610092732,42418262360
1610093032,51157328400
1610093332,21833832800
1610093632,30547767520
1610093932,26248239896
1610094232,34907798520
1610094532,43629610136
1610094832,52315285872
1610095132,22956221352
1610095432,30813517768
1610095732,26219090560
1610096032,34473939712
1610096332,43398418992
1610096632,52430574328
1610096932,23512427544
1610097232,32336035880
1610097532,25803230768
1610097832,34527657136
1610098132,43248322752
1610098432,51998433368
1610098732,22068290616
1610099032,30961574192
1610099332,26956677576
1610099632,35771855672
1610099932,44503987768
1610100232,52093720144
1610100532,23041151552
1610100832,31988466616
1610101132,26693205144
1610101432,35382532744
1610101732,44246199784
1610102032,53229981712
1610102332,24046023544
1610102632,32771323240
1610102932,26981641136
1610103232,35913753544
1610103532,45063674744
1610103832,54201199744
1610104132,25439855496
1610104432,34337746856
1610104732,27199956528
1610105032,36182998968
1610105332,45387665992
1610105632,54310923840
1610105932,25473709168
1610106232,34475174848
1610106532,26199212168
1610106832,35092663832
1610107132,44258222248
1610107432,53334802784
1610107732,24377263712
1610108032,33402249720
1610108332,27128372488
1610108632,36164406920
1610108932,45460434472
1610109232,54521981704
1610109532,25752393512
1610109832,34880566344
1610110132,27096119832
1610110432,36149535544
1610110732,45283118760
1610111032,54369683256
1610111332,25491008376
1610111632,34337619448
1610111932,27013037136
1610112232,35880628944
1610112532,44918942992
1610112832,53965240672
1610113132,25237523064
1610113432,34401536160
1610113732,27134128400
1610114032,36387932256
1610114332,45789762712
1610114632,55202600552
1610114932,26223559128
1610115232,35120239488
1610115532,27518817472
1610115832,36931516816
1610116132,46080890712
1610116432,55137506072
1610116732,26354757400
1610117032,35348974176
1610117332,27320609024
1610117632,36729670992
1610117932,46157261064
1610118232,55511121688
1610118532,27065963272
1610118832,36136505192
1610119132,20045608704
1610119432,20562481544
1610119732,26524242808
1610120032,25560549840
1610120332,29218042688
1610120632,24935221592
1610120932,39294870008
1610121232,32603474728
1610121532,20738584944
1610121832,36495793768
1610122132,47989946176
1610122432,20255874256
1610122732,27603786704
1610123032,37136106336
1610123332,46941850840
1610123632,56662976920
1610123932,28639933976
1610124232,37683179544
1610124532,27369021224
1610124832,36558196592
1610125132,45776835928
1610125432,54806226920
1610125732,26256325272
1610126032,35449727472
1610126332,27307247920
1610126632,36596228592
1610126932,45608497288
1610127232,54635583624
1610127532,25889343536
1610127832,35069052192
1610128132,27561462568
1610128432,36693664760
1610128732,46055495264
1610129032,55252976504
1610129332,26663252104
1610129632,36217191336
1610129932,27662544672
1610130232,37266883400
1610130532,46899442728
1610130832,56084660432
1610131132,27398447936
1610131432,36507768216
1610131732,27690141120
1610132032,37188411640
1610132332,46562398600
1610132632,55799709960
1610132932,27556960520
1610133232,36846423608
1610133532,27492807968
1610133832,37028072080
1610134132,46320236208
1610134432,55450177720
1610134732,26795654936
1610135032,36171833376
1610135332,27723158344
1610135632,37422552024
1610135932,46911210680
1610136232,56280483512
1610136532,27895122016
1610136832,37320737784
1610137132,27288760728
1610137432,36650632960
1610137732,46011389232
1610138032,55421697888
1610138332,27046527976
1610138632,36449697760
1610138932,27226618680
1610139232,36293297160
1610139532,45339392720
1610139832,54500936944
1610140132,26014821520
1610140432,35274284768
1610140732,27623558992
1610141032,37253805608
1610141332,46649076592
1610141632,56324135728
1610141932,28336926880
1610142232,37665902688
1610142532,27431829160
1610142832,36673291736
1610143132,46089264832
1610143432,55513883072
1610143732,27230944936
1610144032,36674594504
1610144332,27654061432
1610144632,37110366344
1610144932,46577878936
1610145232,56074597536
1610145532,27757617984
1610145558,31985490752
1610145558,32186817344
