t,value
1610146707,2
1610147007,3
1610147307,2
1610147607,2
1610147907,2
1610148207,2
1610148507,2
1610148807,2
1610149107,2
1610149407,2
1610149707,2
1610150007,2
1610150307,2
1610150607,2
1610150907,2
1610151207,2
1610151507,2
1610151807,2
1610152107,2
1610152407,2
1610152707,2
1610153007,2
1610153307,2
1610153607,2
1610153907,2
1610154207,2
1610154507,2
1610154807,2
1610155107,2
1610155407,2
1610155707,2
1610156007,2
1610156307,2
1610156607,2
1610156907,2
1610157207,2
1610157507,2
1610157807,2
1610158107,2
1610158407,2
1610158707,2
1610159007,2
1610159307,2
1610159607,2
1610159907,2
1610160207,2
1610160507,2
1610160807,2
1610161107,2
1610161407,2
1610161707,2
1610162007,2
1610162307,2
1610162607,2
1610162907,2
1610163207,2
1610163507,2
1610163807,2
1610164107,2
1610164407,2
1610164707,2
1610165007,2
1610165307,2
1610165607,2
1610165907,2
1610166207,2
1610166507,2
1610166807,2
1610167107,2
1610167407,2
1610167707,2
1610168007,2
1610168307,2
1610168607,2
1610168907,2
1610169207,2
1610169507,2
1610169807,2
1610170107,2
1610170407,2
1610170707,2
1610171007,2
1610171307,2
1610171607,2
1610171907,2
1610172207,2
1610172507,2
1610172807,2
1610173107,2
1610173407,2
1610173707,2
1610174007,2
1610174307,2
1610174607,2
1610174907,2
1610175207,2
1610175507,2
1610175807,2
1610176107,2
1610176407,2
1610176707,2
1610177007,2
1610177307,2
1610177607,2
1610177907,2
1610178207,2
1610178507,2
1610178807,2
1610179107,2
1610179407,2
1610179707,2
1610180007,2
1610180307,2
1610180607,2
1610180907,2
1610181207,2
1610181507,2
1610181807,2
1610182107,2
1610182407,2
1610182707,2
1610183007,2
1610183307,2
1610183607,2
1610183907,2
1610184207,2
1610184507,2
1610184807,2
1610185107,2
1610185407,2
1610185707,2
1610186007,2
1610186307,2
1610186607,2
1610186907,2
1610187207,2
1610187507,2
1610187807,2
1610188107,2
1610188407,2
1610188707,2
1610189007,2
1610189307,2
1610189607,2
1610189907,2
1610190207,2
1610190507,2
1610190807,2
1610191107,2
1610191407,2
1610191707,2
1610192007,2
1610192307,2
1610192607,2
1610192907,2
1610193207,2
1610193507,2
1610193807,2
1610194107,2
1610194407,2
1610194707,2
1610195007,2
1610195307,2
1610195607,2
1610195907,2
1610196207,2
1610196507,2
1610196807,2
1610197107,2
1610197407,2
1610197707,2
1610198007,2
1610198307,2
1610198607,2
1610198907,2
1610199207,2
1610199507,2
1610199807,2
1610200107,2
1610200407,2
1610200707,2
1610201007,2
1610201307,2
1610201607,2
1610201907,2
1610202207,2
1610202507,2
1610202807,2
1610203107,2
1610203407,2
1610203707,2
1610204007,2
1610204307,2
1610204607,2
1610204824,2
1610204824,2
