t,value
1610146707,71455186600
1610147007,93200625064
1610147307,92534827976
1610147607,92424356528
1610147907,92380281736
1610148207,92250397160
1610148507,21238372152
1610148807,21459733296
1610149107,28268502016
1610149407,20062765896
1610149707,27569835360
1610150007,26361170464
1610150307,25358521192
1610150607,32671345928
1610150907,37972216544
1610151207,40701100024
1610151507,41553776848
1610151807,18611084744
1610152107,40444600608
1610152407,39370478832
1610152707,35177572256
1610153007,27355627648
1610153307,44600819488
1610153607,26402212280
1610153907,29426031864
1610154207,44159372336
1610154507,25572601408
1610154807,39277405888
1610155107,19113805096
1610155407,31966907616
1610155707,29433997928
1610156007,41124032920
1610156307,51420370624
1610156607,24893634264
1610156907,34944991616
1610157207,44990385112
1610157507,27262938240
1610157807,37229647608
1610158107,47297309712
1610158407,20622115080
1610158707,30769746848
1610159007,40552263336
1610159307,27412629312
1610159607,37267617224
1610159907,47259020984
1610160207,20201936136
1610160507,29992608688
1610160807,39709282520
1610161107,27276857600
1610161407,37086055192
1610161707,47274283176
1610162007,20356903944
1610162307,30260578936
1610162607,40196358696
1610162907,27391124816
1610163207,37228323872
1610163507,47093402320
1610163807,20296284792
1610164107,30291505816
1610164407,40266217704
1610164707,27256829712
1610165007,37210328968
1610165307,47033285608
1610165607,20264662616
1610165907,30063543720
1610166207,40062193856
1610166507,27467884632
1610166807,37626470200
1610167107,47729228744
1610167407,20893921920
1610167707,30987081808
1610168007,40986063272
1610168307,27439108384
1610168607,37499547816
1610168907,47529776032
1610169207,20735646944
1610169507,30723270304
1610169807,40850486144
1610170107,26971420632
1610170407,37306787032
1610170707,47608146840
1610171007,21066115184
1610171307,31233108264
1610171607,41500243480
1610171907,27679459160
1610172207,37621420976
1610172507,47805284576
1610172807,21148078480
1610173107,31361705320
1610173407,41496053504
1610173707,27743414624
1610174007,37789265640
1610174307,47824389312
1610174607,21032604080
1610174907,31470191952
1610175207,41944799256
1610175507,27966288320
1610175807,38502605712
1610176107,48997486312
1610176407,22715971576
1610176707,32656298376
1610177007,42693266264
1610177307,27696479144
1610177607,37993704904
1610177907,48547106600
1610178207,22328221160
1610178507,32938431528
1610178807,43298360072
1610179107,27496347152
1610179407,37796778224
1610179707,48211086568
1610180007,21872338440
1610180307,31781085624
1610180607,41734150568
1610180907,27425732160
1610181207,37527344304
1610181507,47761467176
1610181807,21119539072
1610182107,31522494576
1610182407,41918625552
1610182707,27840050880
1610183007,37945456104
1610183307,48074850152
1610183607,21347487096
1610183907,31389684448
1610184207,41512504048
1610184507,27553627144
1610184807,37671765736
1610185107,47918268936
1610185407,21567292000
1610185707,32137783072
1610186007,42686008584
1610186307,27391755832
1610186607,37388095416
1610186907,47490791168
1610187207,20846229880
1610187507,30965001208
1610187807,41019348248
1610188107,27558820784
1610188407,37794995832
1610188707,47995501328
1610189007,21421090096
1610189307,31602710400
1610189607,41788393264
1610189907,27677193528
1610190207,37820949928
1610190507,48060841152
1610190807,21486824640
1610191107,31635172856
1610191407,41869009232
1610191707,27659630800
1610192007,37842050056
1610192307,48008886648
1610192607,21355499856
1610192907,31474115408
1610193207,41651777320
1610193507,27511724280
1610193807,37631173480
1610194107,47778154744
1610194407,21124975816
1610194707,31290794008
1610195007,41458665376
1610195307,27628214336
1610195607,37862217464
1610195907,48060714712
1610196207,21410790424
1610196507,31583862136
1610196807,41820336224
1610197107,27520896584
1610197407,37584330720
1610197707,47699544240
1610198007,21198239144
1610198307,31298595848
1610198607,41432658184
1610198907,27711769976
1610199207,38094019128
1610199507,48833117032
1610199807,22459675888
1610200107,32724334888
1610200407,43154011600
1610200707,27691991608
1610201007,38008802480
1610201307,48308896304
1610201607,21972024368
1610201907,32339557760
1610202207,42658221160
1610202507,27773354768
1610202807,38174930656
1610203107,48711680096
1610203407,22567953400
1610203707,33177162152
1610204007,43776687176
1610204307,27960217000
1610204607,38127880880
1610204824,35377288208
1610204824,35545060368
