t,value
1610259598,8192
1610259898,8192
1610260198,8192
1610260498,8192
1610260798,8192
1610261098,8192
1610261398,8192
1610261698,8192
1610261998,8192
1610262298,8192
1610262598,8192
1610262898,8192
1610263198,8192
1610263498,8192
1610263798,8192
1610264098,8192
1610264398,8192
1610264698,8192
1610264998,8192
1610265298,8192
1610265598,8192
1610265898,8192
1610266198,8192
1610266498,8192
1610266798,8192
1610267098,8192
1610267398,8192
1610267698,8192
1610267998,8192
1610268298,8192
1610268598,8192
1610268898,8192
1610269198,8192
1610269498,8192
1610269798,8192
1610270098,8192
1610270398,8192
1610270698,8192
1610270998,8192
1610271298,8192
1610271598,8192
1610271898,8192
1610272198,8192
1610272498,8192
1610272798,8192
1610273098,8192
1610273398,8192
1610273698,8192
1610273998,8192
1610274298,8192
1610274598,8192
1610274898,8192
1610275198,8192
1610275498,8192
1610275798,8192
1610276098,8192
1610276398,8192
1610276698,8192
1610276998,8192
1610277298,8192
1610277598,8192
1610277898,8192
1610278198,8192
1610278498,8192
1610278798,8192
1610279098,8192
1610279398,8192
1610279698,8192
1610279998,8192
1610280298,8192
1610280598,8192
1610280898,8192
1610281198,8192
1610281498,8192
1610281798,8192
1610282098,8192
1610282398,8192
1610282698,8192
1610282998,8192
1610283298,8192
1610283598,8192
1610283898,8192
1610284198,8192
1610284498,8192
1610284798,8192
1610285098,8192
1610285398,8192
1610285698,8192
1610285998,8192
1610286298,8192
1610286598,8192
1610286898,8192
1610287198,8192
1610287498,8192
1610287798,8192
1610288098,8192
1610288398,8192
1610288698,8192
1610288998,8192
1610289298,8192
1610289598,8192
1610289898,8192
1610290198,8192
1610290498,8192
1610290798,8192
1610291098,8192
1610291398,8192
1610291698,8192
1610291998,8192
1610292298,8192
1610292598,8192
1610292898,8192
1610293198,8192
1610293498,8192
1610293798,8192
1610294098,8192
1610294398,8192
1610294698,8192
1610294998,8192
1610295298,8192
1610295598,8192
1610295898,8192
1610296198,8192
1610296498,8192
1610296798,8192
1610297098,8192
1610297398,8192
1610297698,8192
1610297998,8192
1610298298,8192
1610298598,8192
1610298898,8192
1610299198,8192
1610299498,8192
1610299798,8192
1610300098,8192
1610300398,8192
1610300698,8192
1610300998,8192
1610301298,8192
1610301598,8192
1610301898,8192
1610302198,8192
1610302498,8192
1610302798,8192
1610303098,8192
1610303398,8192
1610303698,8192
1610303998,8192
1610304298,8192
1610304598,8192
1610304898,8192
1610305198,8192
1610305498,8192
1610305798,8192
1610306098,8192
1610306398,8192
1610306698,8192
1610306998,8192
1610307298,8192
1610307598,8192
1610307898,8192
1610308198,8192
1610308498,8192
1610308798,8192
1610309098,8192
1610309398,8192
1610309698,8192
1610309998,8192
1610310298,8192
1610310598,8192
1610310738,8192
1610310738,8192
