t,value
1610311785,3
1610312085,0
1610312385,0
1610312685,0
1610312985,0
1610313285,0
1610313585,0
1610313885,0
1610314185,0
1610314485,0
1610314785,0
1610315085,0
1610315385,0
1610315685,0
1610315985,0
1610316285,0
1610316585,0
1610316885,0
1610317185,0
1610317485,0
1610317785,0
1610318085,0
1610318385,0
1610318685,0
1610318985,0
1610319285,0
1610319585,0
1610319885,0
1610320185,0
1610320485,0
1610320785,0
1610321085,0
1610321385,0
1610321685,0
1610321985,0
1610322285,0
1610322585,0
1610322885,0
1610323185,0
1610323485,0
1610323785,0
1610324085,0
1610324385,0
1610324685,0
1610324985,0
1610325285,0
1610325585,0
1610325885,0
1610326185,0
1610326485,0
1610326785,0
1610327085,0
1610327385,0
1610327685,0
1610327985,0
1610328285,0
1610328585,0
1610328885,0
1610329185,0
1610329485,0
1610329785,0
1610330085,0
1610330385,0
1610330685,0
1610330985,0
1610331285,0
1610331585,0
1610331885,0
1610332185,0
1610332485,0
1610332785,0
1610333085,0
1610333385,0
1610333685,0
1610333985,0
1610334285,0
1610334585,0
1610334885,0
1610335185,0
1610335485,0
1610335785,0
1610336085,0
1610336385,0
1610336685,0
1610336985,0
1610337285,0
1610337585,0
1610337885,0
1610338185,0
1610338485,0
1610338785,0
1610339085,0
1610339385,0
1610339685,0
1610339985,0
1610340285,0
1610340585,0
1610340885,0
1610341185,0
1610341485,0
1610341785,0
1610342085,0
1610342385,0
1610342685,0
1610342985,0
1610343285,0
1610343585,0
1610343885,0
1610344185,0
1610344485,0
1610344785,0
1610345085,0
1610345385,0
1610345685,0
1610345985,0
1610346285,0
1610346585,0
1610346885,0
1610347185,0
1610347485,0
1610347785,0
1610348085,0
1610348385,0
1610348685,0
1610348985,0
1610349285,0
1610349585,0
1610349885,0
1610350185,0
1610350485,0
1610350785,0
1610351085,0
1610351385,0
1610351685,0
1610351985,0
1610352285,0
1610352585,0
1610352885,0
1610353185,0
1610353485,0
1610353785,0
1610354085,0
1610354385,0
1610354685,0
1610354985,0
1610355285,0
1610355585,0
1610355885,0
1610356185,0
1610356485,0
1610356785,0
1610357085,0
1610357385,0
1610357685,0
1610357985,0
1610358285,0
1610358585,0
1610358885,0
1610359185,0
1610359485,0
1610359785,0
1610360083,0
1610360083,0
