t,value
1610311785,3801088
1610312085,3801088
1610312385,3801088
1610312685,3801088
1610312985,3801088
1610313285,3801088
1610313585,3801088
1610313885,3801088
1610314185,3801088
1610314485,3801088
1610314785,3801088
1610315085,3801088
1610315385,3801088
1610315685,3801088
1610315985,3801088
1610316285,3801088
1610316585,3801088
1610316885,3801088
1610317185,3801088
1610317485,3801088
1610317785,3801088
1610318085,3801088
1610318385,3801088
1610318685,3801088
1610318985,3801088
1610319285,3801088
1610319585,3801088
1610319885,3801088
1610320185,3801088
1610320485,3801088
1610320785,3801088
1610321085,3801088
1610321385,3801088
1610321685,3801088
1610321985,3801088
1610322285,3801088
1610322585,3801088
1610322885,3801088
1610323185,3801088
1610323485,3801088
1610323785,3801088
1610324085,3801088
1610324385,3801088
1610324685,3801088
1610324985,3801088
1610325285,3801088
1610325585,3801088
1610325885,3801088
1610326185,3801088
1610326485,3801088
1610326785,3801088
1610327085,3801088
1610327385,3801088
1610327685,3801088
1610327985,3801088
1610328285,3801088
1610328585,3801088
1610328885,3801088
1610329185,3801088
1610329485,3801088
1610329785,3801088
1610330085,3801088
1610330385,3801088
1610330685,3801088
1610330985,3801088
1610331285,3801088
1610331585,3801088
1610331885,3801088
1610332185,3801088
1610332485,3801088
1610332785,3801088
1610333085,3801088
1610333385,3801088
1610333685,3801088
1610333985,3801088
1610334285,3801088
1610334585,3801088
1610334885,3801088
1610335185,3801088
1610335485,3801088
1610335785,3801088
1610336085,3801088
1610336385,3801088
1610336685,3801088
1610336985,3801088
1610337285,3801088
1610337585,3801088
1610337885,3801088
1610338185,3801088
1610338485,3801088
1610338785,3801088
1610339085,3801088
1610339385,3801088
1610339685,3801088
1610339985,3801088
1610340285,3801088
1610340585,3801088
1610340885,3801088
1610341185,3801088
1610341485,3801088
1610341785,3801088
1610342085,3801088
1610342385,3801088
1610342685,3801088
1610342985,3801088
1610343285,3801088
1610343585,3801088
1610343885,3801088
1610344185,3801088
1610344485,3801088
1610344785,3801088
1610345085,3801088
1610345385,3801088
1610345685,3801088
1610345985,3801088
1610346285,3801088
1610346585,3801088
1610346885,3801088
1610347185,3801088
1610347485,3801088
1610347785,3801088
1610348085,3801088
1610348385,3801088
1610348685,3801088
1610348985,3801088
1610349285,3801088
1610349585,3801088
1610349885,3801088
1610350185,3801088
1610350485,3801088
1610350785,3801088
1610351085,3801088
1610351385,3801088
1610351685,3801088
1610351985,3801088
1610352285,3801088
1610352585,3801088
1610352885,3801088
1610353185,3801088
1610353485,3801088
1610353785,3801088
1610354085,3801088
1610354385,3801088
1610354685,3801088
1610354985,3801088
1610355285,3801088
1610355585,3801088
1610355885,3801088
1610356185,3801088
1610356485,3801088
1610356785,3801088
1610357085,3801088
1610357385,3801088
1610357685,3801088
1610357985,3801088
1610358285,3801088
1610358585,3801088
1610358885,3801088
1610359185,3801088
1610359485,3801088
1610359785,3801088
1610360083,3801088
1610360083,3801088
