t,value
1610660675,122028032
1610660975,122028032
1610661275,122028032
1610661575,122028032
1610661875,122028032
1610662175,122028032
1610662475,122028032
1610662775,122028032
1610663075,122028032
1610663375,122028032
1610663675,122028032
1610663975,122028032
1610664275,122028032
1610664575,122028032
1610664875,122028032
1610665175,122028032
1610665475,122028032
1610665775,122028032
1610666075,122028032
1610666375,122028032
1610666675,122028032
1610666975,122028032
1610667275,122028032
1610667575,122028032
