t,value
1610660675,2155151360
1610660975,2155151360
1610661275,2155151360
1610661575,2155151360
1610661875,2155151360
1610662175,2155151360
1610662475,2155151360
1610662775,2155151360
1610663075,2155151360
1610663375,2155151360
1610663675,2155151360
1610663975,2155151360
1610664275,2155151360
1610664575,2155151360
1610664875,2155151360
1610665175,2155151360
1610665475,2155151360
1610665775,2155151360
1610666075,2155151360
1610666375,2155151360
1610666675,2155151360
1610666975,2155151360
1610667275,2155151360
1610667575,2155151360
